Function,Vector Min,Vector Max,Average,Standard Deviation,Range,Median,Total Time (ms)
Schwefel’s function,-512.000000,512.000000,13461.382631,2519.194831,11567.026277,13725.341605,0.027904
1st De Jong’s function,-100.000000,100.000000,608796.402155,133826.883364,605837.586323,593709.690934,0.000610
Rosenbrock,-100.000000,100.000000,3095315805021.448242,1523026017549.292480,6431453417250.001953,3109062370942.068359,0.001340
Rastrigin,-30.000000,30.000000,17412498.770675,2760550.695258,8814789.252563,16948760.297660,0.023799
Griewangk,-500.000000,500.000000,3821.287756,881.709551,3627.919825,3446.554664,0.026894
Sine Envelope Sine Wave,-30.000000,30.000000,-17.030842,0.816621,3.064293,-16.902639,0.023269
Stretched V Sine Wave,-30.000000,30.000000,136.512706,15.591755,67.476397,134.910668,0.125748
Ackley’s One,-32.000000,32.000000,1409.830441,170.921050,854.786332,1410.053773,0.040776
Ackley’s Two,-32.000000,32.000000,617.052649,7.610729,31.891179,615.866787,0.121053
Egg Holder,-500.000000,500.000000,-321.549923,3759.290246,14001.429406,-283.084355,0.056788
Rana,-500.000000,500.000000,-570.533970,2312.727524,7968.712297,299.532868,0.105321
Pathological,-100.000000,100.000000,14.457657,0.295798,1.190277,14.493517,0.026873
Michalewicz,0.000000,3.141593,-0.014642,1.432865,7.843528,-0.133996,0.104795
Masters Cosine Wave,-30.000000,30.000000,0.003163,0.012838,0.074014,0.000000,0.068408
Quartic,-100.000000,100.000000,470446322589.262024,196690068700.201904,864729975221.693237,440561019076.863892,0.001012
Levy,-10.000000,100.000000,144042.066178,61123.929581,289557.171304,130355.200268,0.024958
Step,-100.000000,100.000000,636480.856232,134892.287341,524152.252202,652586.123218,0.000649
Alpine,-100.000000,100.000000,2314.607898,386.487430,1498.106659,2264.212292,0.023309
