Schwefel’s function,8864.76,8217.79,7996.44,8730.91,7928.92,9498.33,9513.84,9792.07,7850.48,7766.27,8853.26,8708.64,8230.27,8941.47,8978.19,8196.46,7800.9,8627.76,8696.4,6172.15,8518.4,9063.72,7611.84,8134.31,8113.32,8867.46,8331.44,7888.95,8145.97,9227.99
1st De Jong’s function,51263.4,77625.7,57695.7,74795.6,55871,76970.3,69434.2,84146.7,56453.1,55207.3,54308,39406.4,55404.4,85039.6,54210,76700.8,52018.8,72877.8,58705.9,82457.2,58149.4,74168.6,62068,79794.6,82939.1,63942.4,65323.7,64014.6,71836.7,69506.3
Rosenbrock,3.86147e+10,4.78084e+10,4.42716e+10,2.65679e+10,2.73837e+10,7.9026e+10,3.71605e+10,3.32576e+10,4.33573e+10,3.91714e+10,4.55758e+10,2.95473e+10,6.42407e+10,2.93038e+10,4.37395e+10,4.39138e+10,2.71044e+10,3.58004e+10,4.23277e+10,6.4935e+10,4.93344e+10,2.49158e+10,5.03106e+10,4.64787e+10,3.65262e+10,3.74968e+10,4.01525e+10,4.05125e+10,5.62763e+10,2.48119e+10
Rastrigin,1.09915e+06,1.57892e+06,802027,1.04975e+06,1.4058e+06,1.36195e+06,1.09783e+06,1.25535e+06,1.28544e+06,958741,1.3293e+06,1.05529e+06,1.73112e+06,1.78575e+06,1.1914e+06,1.36798e+06,1.14276e+06,970131,1.56245e+06,895264,1.22261e+06,990473,1.08801e+06,1.33798e+06,997213,1.42749e+06,1.03494e+06,418198,1.81558e+06,1.11136e+06
Griewangk,277.324,363.711,498.201,409.018,369.138,485.796,251.17,480.826,338.219,356.03,472.021,344.769,377.22,431.377,218.741,514.371,455.021,478.549,320.675,348.537,628.586,552.846,293.484,476.4,251.744,453.811,485.286,452.057,277.576,500.634
Sine Envelope Sine Wave,-13.2388,-13.305,-13.1494,-16.6515,-14.3981,-16.785,-15.6012,-11.8424,-13.9548,-13.6676,-13.5834,-13.8146,-14.7635,-14.2381,-14.9501,-12.8056,-14.5367,-12.7426,-12.8367,-14.7303,-14.2341,-14.6357,-13.0119,-12.4781,-12.3232,-17.5587,-14.8064,-13.3602,-12.9309,-13.6731
Stretched V Sine Wave,63.7216,57.0765,66.3227,62.1329,65.5132,72.4635,72.3182,62.4517,72.6801,61.9191,51.1981,67.8892,74.4985,78.561,76.3907,60.7963,67.987,67.4745,54.3201,73.5391,45.9698,76.8661,53.4778,65.0408,71.9736,73.9681,58.8058,57.1015,58.6449,65.7269
Ackley’s One,471.951,347.858,423.809,442.918,372.34,363.068,379.259,325.294,384.6,381.577,482.416,461.371,308.449,442.063,458.56,424.63,458.105,340.76,394.177,408.747,427.948,402.588,457.555,409.863,349.535,298.765,441.707,392.541,375.918,293.594
Ackley’s Two,404.475,396.687,398.232,374.322,366.497,388.492,379.577,395.116,402.658,380.731,389.567,394.111,385.906,382.045,369.65,374.506,366.238,403.007,368.231,348.992,399.23,374.542,392.314,376.874,364.971,392.743,371.184,359.858,387.696,385.012
Egg Holder,-1.48996,-309.96,985.683,-539.298,-905.203,1394.47,-304.396,-452.533,1205.85,1458.97,201.904,-171.218,-370.09,-441.223,404.872,-1190.65,-1003.97,-277.876,-2126.91,-1063.58,1708.55,-870.07,-220.79,844.852,-1525.97,562.731,2022.31,-1101.41,-1816.33,1026.84
Rana,-1091.83,695.017,789.013,-490.403,-504.426,-124.603,-504.975,-233.933,-633.064,-604.361,-472.711,1269.9,909.381,-82.1878,-1153.76,-190.705,-349.965,-6.81266,133.878,1112.03,-20.8129,-1239.44,-14.4671,884.19,-959.587,-645.685,-1267.86,1156.17,-1144.3,-387.111
Pathological,9.07749,9.04754,9.56788,9.67822,9.16168,9.50814,9.77201,9.97976,9.68196,9.39316,9.5506,9.54396,9.26949,9.41444,9.17351,9.47028,9.3646,9.499,9.49003,8.87443,8.76095,9.38177,9.58011,9.62486,8.9431,9.18279,9.28801,9.11942,8.98404,9.71726
Michalewicz,-0.628411,-4.68,-1.92225,-1.02811,-1.90478,-1.58827,-2.41417,-3.64595,-1.92608,-1.0445,-0.936006,-2.80701,-4.56752,-1.87105,-2.93742,-0.511101,-1.23362,-1.82549,-0.910834,-1.55475,-3.99744,-1.74188,-1.08652,-1.71552,-3.51897,-2.78563,-0.119915,-1.70415,-2.19731,-1.20043
Masters Cosine Wave,2.48156e-06,-0.000340139,-4.40079e-14,0.304913,-0.0259141,-0.0547041,0.00412971,-2.60588e-05,0.148347,-0.00516323,8.56369e-07,0.000298365,0.0181764,4.73801e-25,0.362685,-0.00622792,-0.862478,0.480308,-0.00175523,-0.00568289,-0.237587,-0.173924,0.000890935,0.634953,-1.29614e-05,-1.11296e-13,-3.15565e-05,-2.11236e-12,-0.000354264,0.0103005
Quartic,3.19032e+09,5.46991e+09,2.51539e+09,2.64293e+09,4.81916e+09,3.06523e+09,1.94431e+09,5.8805e+09,6.29319e+09,4.62858e+09,4.84351e+09,5.02134e+09,3.38162e+09,5.52879e+09,3.47039e+09,1.97886e+09,5.59305e+09,3.43478e+09,6.89786e+09,2.75814e+09,5.29545e+09,3.75323e+09,2.4061e+09,2.00874e+09,5.44653e+09,2.37793e+09,4.43469e+09,2.62295e+09,2.9031e+09,3.55637e+09
Levy,200.3,330.696,268.82,258.059,215.45,300.781,247.363,312.069,342.702,259.537,265.173,219.531,440.358,364.951,205.978,338.061,274.237,230.327,465.245,394.384,357.317,385.449,285.121,535.545,227.472,288.583,327.454,193.206,303.452,253.995
Step,78518.3,95718.5,72454,63460.1,78598,88689.5,56881,68624.9,55833.1,78104.1,55881.4,63800.2,70469.1,78548.4,51488.7,63606.1,44729.7,74303.8,52452.4,40322.5,75774.2,64623.2,84669.9,66829.5,72983.4,92919.6,57814.3,84439.3,77916,66766.9
Alpine,748.804,793.164,666.184,481.807,575.001,629.272,836.178,608.152,457.514,580.46,694.577,454.621,681.497,794.711,678.749,437.429,751.947,739.125,794.335,732.642,613.612,632.365,505.423,602.475,728.754,520.76,543.612,708.508,719.472,508.882
