Function,Vector Min,Vector Max,Average,Standard Deviation,Range,Median,Total Time (ms)
Schwefel’s function,-512.000000,512.000000,4178.807073,656.753218,2735.976852,4239.998660,0.046879
1st De Jong’s function,-100.000000,100.000000,34138.730148,7705.743730,29550.893022,35493.851472,0.001436
Rosenbrock,-100.000000,100.000000,17321048764.015591,7550520072.473463,29441293724.553913,16872178866.532969,0.001969
Rastrigin,-30.000000,30.000000,308568.396090,83589.316103,369242.173249,310671.783473,0.021956
Griewangk,-500.000000,500.000000,220.547408,53.684003,226.559266,215.817912,0.024426
Sine Envelope Sine Wave,-30.000000,30.000000,-6.587567,0.630850,2.750445,-6.472653,0.020659
Stretched V Sine Wave,-30.000000,30.000000,28.376138,4.423410,20.012518,28.230544,0.105025
Ackley’s One,-32.000000,32.000000,176.027881,29.445491,146.725856,171.575685,0.035681
Ackley’s Two,-32.000000,32.000000,180.150115,8.318025,33.386585,181.318083,0.100189
Egg Holder,-500.000000,500.000000,-23.256703,680.364134,2631.193183,-8.928641,0.037256
Rana,-500.000000,500.000000,-44.179703,684.372023,2516.093611,-130.368932,0.078156
Pathological,-100.000000,100.000000,4.471498,0.243030,1.105822,4.499482,0.017329
Michalewicz,0.000000,3.141593,-1.371332,0.826155,3.717997,-1.138928,0.089029
Masters Cosine Wave,-30.000000,30.000000,-0.010000,0.076756,0.433077,-0.000000,0.050728
Quartic,-100.000000,100.000000,895774570.794317,457415765.297637,1626221452.204642,901989933.320866,0.001841
Levy,-10.000000,10.000000,138.095146,57.068401,206.052251,135.619617,0.025375
Step,-100.000000,100.000000,33692.678875,8703.102314,37384.118133,33443.808560,0.001327
Alpine,-100.000000,100.000000,316.581730,72.096586,360.908335,298.867652,0.022339
