Function,Vector Min,Vector Max,Average,Standard Deviation,Range,Median,Total Time (ms)
Schwefel’s function,-512.000000,512.000000,4028.683943,525.759595,1938.640702,4129.278418,0.050190
1st De Jong’s function,-100.000000,100.000000,27250.225694,7483.332416,36298.754433,26629.395486,0.000849
Rosenbrock,-100.000000,100.000000,16521598013.761745,6290223966.685260,25322395781.427097,16488081218.541601,0.001358
Rastrigin,-30.000000,30.000000,302275.700253,86203.006524,364335.684410,294768.202069,0.023276
Griewangk,-500.000000,500.000000,191.287543,55.467067,235.734359,204.695371,0.024609
Sine Envelope Sine Wave,-30.000000,30.000000,-6.438160,0.780989,3.564979,-6.464073,0.021057
Stretched V Sine Wave,-30.000000,30.000000,29.732765,5.623661,22.209004,29.156498,0.106313
Ackley’s One,-32.000000,32.000000,168.818993,36.035930,121.176977,181.676992,0.038694
Ackley’s Two,-32.000000,32.000000,182.360200,8.555822,28.694670,185.229782,0.104839
Egg Holder,-500.000000,500.000000,163.746250,676.560229,3467.558197,171.791003,0.041532
Rana,-500.000000,500.000000,-30.910879,510.144228,2047.842938,-2.133840,0.082820
Pathological,-100.000000,100.000000,4.440378,0.170588,0.821642,4.498273,0.021835
Michalewicz,0.000000,3.141593,-1.138846,0.817349,3.179027,-0.863450,0.092961
Masters Cosine Wave,-30.000000,30.000000,0.017758,0.081148,0.489134,-0.000000,0.053722
Quartic,-100.000000,100.000000,1105405626.598293,463216188.343463,1806833875.184364,1033832982.118707,0.001109
Levy,-10.000000,100.000000,12414.699117,4928.927734,18316.575828,10852.491137,0.023469
Step,-100.000000,100.000000,34746.239907,9665.514272,32717.776746,32924.007563,0.000935
Alpine,-100.000000,100.000000,314.635149,93.656787,374.041903,305.952867,0.022686
