Function,Vector Min,Vector Max,Average,Standard Deviation,Range,Median,Total Time (ms)
Schwefel’s function,-512.000000,512.000000,8549.265315,878.056150,3935.915574,8756.857211,0.056646
1st De Jong’s function,-100.000000,100.000000,66648.691000,13261.050851,50535.187067,67349.999086,0.001200
Rosenbrock,-100.000000,100.000000,39524541336.049591,12292753768.171515,38933006150.764557,37034819408.292328,0.002143
Rastrigin,-30.000000,30.000000,1268378.108613,271936.676207,1070579.346528,1253979.795121,0.059072
Griewangk,-500.000000,500.000000,399.722706,77.023207,330.752082,405.525449,0.063919
Sine Envelope Sine Wave,-30.000000,30.000000,-13.937687,1.071072,4.704020,-13.661603,0.030585
Stretched V Sine Wave,-30.000000,30.000000,66.812329,8.436101,29.573070,67.425410,0.118187
Ackley’s One,-32.000000,32.000000,379.080415,51.467333,213.061843,375.332092,0.054386
Ackley’s Two,-32.000000,32.000000,383.665076,11.209129,53.355811,384.114361,0.162160
Egg Holder,-500.000000,500.000000,3.539575,1274.508275,5550.480787,37.485299,0.064290
Rana,-500.000000,500.000000,40.468089,907.370488,3805.632794,90.555177,0.115016
Pathological,-100.000000,100.000000,9.496654,0.250068,1.353493,9.497584,0.035177
Michalewicz,0.000000,3.141593,-2.384997,1.023939,4.110135,-2.368761,0.177229
Masters Cosine Wave,-30.000000,30.000000,0.005799,0.241503,1.657507,-0.000000,0.129224
Quartic,-100.000000,100.000000,4139212312.886895,1752261465.743684,6421766387.586971,3830570919.439960,0.012022
Levy,-10.000000,10.000000,308.739312,78.001530,313.478016,304.883997,0.047139
Step,-100.000000,100.000000,66000.536432,12830.160139,55037.164065,66224.179935,0.000721
Alpine,-100.000000,100.000000,640.555740,145.472265,612.189120,615.354590,0.022817
