Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
-3330.8282,-3484.0782,-3010.4783,-3357.3731,-2806.2041,-3333.5117,-3508.9763,-2960.3642,-5325.4604,-3481.21,-3361.5659,-3272.8053,-3194.9722,-3195.8235,-4070.7533,-3229.5777,-3387.3034,-3222.8554,-3070.9968,-3791.9476,-3810.6225,-3590.3673,-3071.4662,-3605.9922,-2971.0662,-3020.6231,-2863.389,-3389.147,-3470.9661,-3224.0146,-4257.5949,-2810.6826,-3375.5446,-4113.7034,-3252.4486,-3011.7058,-3410.2648,-3118.3472,-3429.2961,-3345.4745,-3280.7447,-3552.5326,-3727.4167,-3226.9005,-3900.3468,-3354.8555,-3114.4935,-3123.3985,-4260.4402,-3059.6664
-3330.8282,-3484.0782,-3433.9534,-3851.4275,-3359.3005,-3333.5117,-3508.9763,-3805.1165,-5325.4604,-3481.21,-3863.5037,-3687.0945,-4270.7878,-3195.8235,-4070.7533,-3480.0931,-3422.8434,-3222.8554,-3070.9968,-3791.9476,-4173.074,-4170.7355,-3776.2809,-3605.9922,-4253.1351,-4957.748,-3653.4641,-3518.988,-3470.9661,-3224.0146,-4257.5949,-3400.2161,-3873.4131,-4113.7034,-3729.4623,-3011.7058,-3410.2648,-3308.6743,-3429.2961,-3345.4745,-3433.1398,-3799.4595,-4204.1068,-3278.5406,-3900.3468,-4428.0549,-3173.9662,-3913.6521,-4260.4402,-3059.6664
-3330.8282,-3829.6987,-3910.2918,-3851.4275,-4187.9908,-3355.3261,-3508.9763,-3805.1165,-5325.4604,-3481.21,-3863.5037,-5419.3017,-4270.7878,-3216.5524,-4322.1,-3480.0931,-4575.2901,-3222.8554,-3070.9968,-3791.9476,-4252.3892,-4170.7355,-3776.2809,-3605.9922,-4253.1351,-4957.748,-3804.3833,-4239.9082,-3573.3223,-3613.2257,-4950.1358,-3400.2161,-3873.4131,-4113.7034,-3729.4623,-3011.7058,-3410.2648,-4188.9399,-3452.8684,-3345.4745,-4051.0152,-3799.4595,-4552.6601,-4003.8552,-3900.3468,-4428.0549,-3548.7125,-3913.6521,-4260.4402,-3405.0215
-4034.4316,-3829.6987,-3910.2918,-4395.7114,-4218.72,-3355.3261,-3508.9763,-3954.2982,-5325.4604,-3628.587,-3863.5037,-5419.3017,-4270.7878,-3216.5524,-4322.1,-4949.0691,-4575.2901,-3222.8554,-3096.6565,-3791.9476,-4428.0591,-4170.7355,-3776.2809,-3605.9922,-4253.1351,-5073.6585,-4152.4949,-4239.9082,-3573.3223,-3613.2257,-7065.6493,-3400.2161,-3873.4131,-4113.7034,-3729.4623,-3011.7058,-4457.8356,-4188.9399,-5503.3089,-3345.4745,-4051.0152,-3799.4595,-5020.2292,-4126.5994,-4351.9964,-4662.2323,-3555.9474,-3913.6521,-4260.4402,-4768.0246
-4034.4316,-4379.295,-3910.2918,-4395.7114,-4218.72,-3524.1721,-3508.9763,-4243.9764,-5325.4604,-4216.1473,-3863.5037,-5419.3017,-5289.314,-3216.5524,-4322.1,-5344.1291,-4575.2901,-3222.8554,-3096.6565,-4450.4004,-5198.6531,-4170.7355,-4313.3888,-3605.9922,-4253.1351,-5073.6585,-4152.4949,-4239.9082,-3865.77,-5634.1642,-7065.6493,-3577.8109,-3873.4131,-4113.7034,-3729.4623,-4482.4621,-4457.8356,-4439.1264,-5503.3089,-3345.4745,-4051.0152,-4254.3257,-5107.3515,-4126.5994,-4351.9964,-5346.0356,-4934.7719,-4398.5959,-4260.4402,-4768.0246
-4034.4316,-4379.295,-3910.2918,-4395.7114,-4218.72,-4122.0438,-3508.9763,-4243.9764,-5325.4604,-4216.1473,-3863.5037,-5419.3017,-5289.314,-3216.5524,-4322.1,-5580.7898,-4575.2901,-3222.8554,-3868.7443,-4450.4004,-5198.6531,-4776.1385,-4330.7832,-3605.9922,-4253.1351,-5073.6585,-4314.1925,-4251.2872,-3865.77,-5634.1642,-7065.6493,-3577.8109,-4208.1696,-4113.7034,-3729.4623,-4482.4621,-4457.8356,-4439.1264,-5503.3089,-3345.4745,-4051.0152,-4254.3257,-5107.3515,-4126.5994,-4351.9964,-5346.0356,-4934.7719,-4995.9728,-4260.4402,-4768.0246
-4034.4316,-4379.295,-4306.873,-4395.7114,-4218.72,-4309.6876,-3508.9763,-4243.9764,-5325.4604,-4216.1473,-3863.5037,-5419.3017,-5289.314,-3404.4488,-4322.1,-6185.2456,-4575.2901,-3222.8554,-3868.7443,-4450.4004,-5588.8312,-4776.1385,-4833.811,-3605.9922,-4253.1351,-5073.6585,-5242.4911,-4840.473,-3865.77,-5634.1642,-7065.6493,-3577.8109,-4474.6971,-4113.7034,-3729.4623,-4482.4621,-4457.8356,-4439.1264,-5503.3089,-3345.4745,-4051.0152,-4254.3257,-5503.5113,-4126.5994,-4351.9964,-5346.0356,-4934.7719,-4995.9728,-4260.4402,-4768.0246
-4034.4316,-4379.295,-4306.873,-4395.7114,-4218.72,-4309.6876,-3508.9763,-4243.9764,-5325.4604,-4216.1473,-3863.5037,-5419.3017,-5289.314,-3404.4488,-4322.1,-6216.3486,-4605.3633,-3222.8554,-3868.7443,-4450.4004,-5588.8312,-4776.1385,-4833.811,-3605.9922,-4253.1351,-5073.6585,-5242.4911,-4840.473,-4119.6181,-5634.1642,-7065.6493,-4507.0778,-4614.9693,-4113.7034,-3729.4623,-4482.4621,-4457.8356,-4439.1264,-5503.3089,-3912.5626,-4226.6146,-4254.3257,-5503.5113,-4126.5994,-4351.9964,-5702.1135,-4934.7719,-5420.1253,-4260.4402,-4768.0246
-4230.2144,-4379.295,-4306.873,-4395.7114,-4218.72,-5413.5854,-3508.9763,-4303.1914,-5325.4604,-4216.1473,-3863.5037,-5419.3017,-5289.314,-3404.4488,-4322.1,-6216.3486,-4605.3633,-3222.8554,-3868.7443,-4450.4004,-5588.8312,-5026.7028,-5424.3735,-3802.7882,-4253.1351,-5583.8362,-5242.4911,-4840.473,-4256.0492,-5872.5549,-7065.6493,-4507.0778,-4614.9693,-5142.7425,-3729.4623,-4482.4621,-4457.8356,-5528.4948,-5503.3089,-3912.5626,-4226.6146,-4254.3257,-5503.5113,-4126.5994,-4351.9964,-5702.1135,-5137.264,-6443.5309,-4260.4402,-4768.0246
-4270.033,-4379.295,-4306.873,-4395.7114,-4218.72,-5413.5854,-3508.9763,-4303.1914,-5325.4604,-4216.1473,-3863.5037,-5419.3017,-5289.314,-3418.8716,-4322.1,-6340.4699,-4605.3633,-3222.8554,-3868.7443,-4450.4004,-5837.1107,-5026.7028,-5436.9516,-4502.3896,-4474.7695,-5583.8362,-5242.4911,-5530.7318,-4256.0492,-5872.5549,-7065.6493,-4507.0778,-5159.9146,-5142.7425,-3729.4623,-4482.4621,-4457.8356,-5528.4948,-5503.3089,-3912.5626,-5002.3254,-4254.3257,-5503.5113,-4126.5994,-4351.9964,-6765.8125,-5137.264,-6443.5309,-4260.4402,-4768.0246
