Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
-4229.7537,-3441.1396,-2774.0537,-2787.4976,-2861.9185,-3379.2406,-2528.4836,-2343.94,-4035.7113,-3326.4045,-2505.6848,-2758.7862,-2904.5344,-3598.4993,-3299.8631,-3205.3164,-2368.3585,-2908.0743,-2704.0013,-3466.4673,-2835.5945,-3563.7065,-3807.0574,-2736.2206,-3314.1133,-3026.0463,-3088.1806,-3195.086,-2843.0689,-2613.59,-2647.7137,-2418.2722,-2992.0068,-2812.2953,-2830.302,-3533.9161,-3391.9721,-3225.2063,-3198.0976,-3050.4052,-2876.9345,-3369.5364,-3364.8452,-3185.8414,-2451.2888,-3527.105,-2873.5516,-2724.3714,-3231.5508,-3013.2548
-4229.7537,-3441.1396,-3109.685,-3148.6969,-2861.9185,-3379.2406,-2751.1764,-3510.1419,-4035.7113,-3326.4045,-2940.2894,-3472.4962,-2904.5344,-3598.4993,-4096.6589,-3297.5491,-2405.8893,-3302.8661,-3056.6053,-3466.4673,-3411.1199,-3563.7065,-3807.0574,-2736.2206,-3314.1133,-3084.8059,-3306.3171,-3332.8027,-3112.1785,-2960.7249,-2647.7137,-2789.2931,-3171.1299,-2812.2953,-2830.302,-3533.9161,-3647.9946,-3261.6297,-3395.6107,-3774.0087,-3022.104,-3369.5364,-3364.8452,-3290.303,-2708.5965,-3685.61,-2960.2046,-3366.9791,-3231.5508,-3210.1034
-4229.7537,-3441.1396,-3109.685,-3929.1064,-3446.5645,-3599.8223,-3697.0401,-3693.5001,-4035.7113,-3326.4045,-3076.6191,-3472.4962,-3494.3865,-3598.4993,-4096.6589,-3666.8059,-3180.8445,-3419.1021,-3537.8792,-3973.9145,-3411.1199,-3955.0375,-3838.8071,-2816.746,-3314.1133,-3099.8194,-3306.3171,-3567.2955,-3292.024,-3396.8745,-2647.7137,-3815.4525,-3407.534,-3373.0697,-4808.6393,-3533.9161,-3647.9946,-3744.2173,-4001.795,-3774.0087,-3022.104,-3369.5364,-3364.8452,-3347.7508,-4187.967,-3730.5662,-3608.091,-3687.3279,-3377.7879,-3378.5951
-4229.7537,-3441.1396,-3109.685,-3929.1064,-3612.4864,-3599.8223,-3697.0401,-3693.5001,-4035.7113,-3421.9533,-3080.8569,-3479.3439,-3494.3865,-3800.0882,-4096.6589,-4608.0019,-3180.8445,-3419.1021,-3537.8792,-4498.3014,-3411.1199,-3955.0375,-3909.2007,-3641.1905,-3314.1133,-3099.8194,-3392.3237,-3567.2955,-3682.7085,-3396.8745,-3417.2077,-3815.4525,-3736.1348,-3373.0697,-4808.6393,-3747.28,-3920.7831,-3744.2173,-4001.795,-3774.0087,-3365.209,-3916.5719,-3364.8452,-3752.4255,-4187.967,-3730.5662,-4042.211,-3890.7872,-3377.7879,-3378.5951
-4854.6364,-3441.1396,-3109.685,-3929.1064,-3649.88,-4417.0905,-3943.8566,-3693.5001,-4046.0942,-3499.762,-3336.0814,-3479.3439,-3494.5732,-4230.464,-4096.6589,-4608.0019,-3180.8445,-3419.1021,-4034.1679,-4498.3014,-3411.1199,-3955.0375,-4069.7496,-3641.1905,-3314.1133,-3349.1252,-3615.9061,-3981.7945,-3682.7085,-4178.7949,-3417.2077,-4080.6105,-3736.1348,-3431.2298,-4954.06,-3747.28,-3920.7831,-3796.6216,-4499.5752,-3845.8803,-3576.1398,-3916.5719,-3523.2388,-3819.1099,-4462.3237,-3782.2033,-4042.211,-3890.7872,-3829.6231,-3378.5951
-4854.6364,-3441.1396,-3268.296,-3929.1064,-3723.5027,-4417.0905,-3943.8566,-3734.0695,-4046.0942,-3601.6455,-3702.4538,-3978.5866,-3682.5514,-4230.464,-4261.7221,-4608.0019,-3916.6805,-3477.56,-4034.1679,-4498.3014,-3592.5705,-5102.5978,-4132.7001,-3641.1905,-3771.9189,-3539.725,-3893.8999,-3981.7945,-3682.7085,-4178.7949,-4194.0745,-4080.6105,-3816.0369,-3431.2298,-5191.1085,-3913.1601,-3971.0613,-3796.6216,-4499.5752,-4104.0789,-3576.1398,-3916.5719,-3523.2388,-3819.1099,-4462.3237,-3903.8178,-4042.211,-3996.8065,-3829.6231,-3378.5951
-4854.6364,-3441.1396,-3532.6181,-3929.1064,-3723.5027,-4417.0905,-3943.8566,-3930.3273,-4046.0942,-3746.7522,-4187.3655,-3978.5866,-3682.5514,-4230.464,-4331.6392,-4608.0019,-3916.6805,-3644.2327,-4034.1679,-4498.3014,-3592.5705,-5102.5978,-4132.7001,-3713.4901,-3771.9189,-3547.7534,-3893.8999,-4274.3282,-3682.7085,-4178.7949,-4194.0745,-4080.6105,-3841.1343,-3516.0915,-5191.1085,-3913.1601,-3971.0613,-4289.4472,-5698.127,-4424.7801,-3834.474,-4219.705,-3523.2388,-4116.946,-4462.3237,-3903.8178,-5431.4045,-3996.8065,-3829.6231,-3724.4192
-4854.6364,-3579.9593,-3532.6181,-4559.2842,-3812.5818,-4417.0905,-3943.8566,-4286.5337,-4046.0942,-4004.2922,-4187.3655,-3978.5866,-3682.5514,-4379.051,-4331.6392,-4608.0019,-4319.2429,-3661.0209,-4713.0823,-4498.3014,-3871.9936,-5102.5978,-4343.629,-3851.602,-3771.9189,-3547.7534,-4037.5786,-4274.3282,-3682.7085,-4178.7949,-4194.0745,-4080.6105,-3841.1343,-3516.0915,-5191.1085,-3913.1601,-3971.0613,-4974.5361,-5698.127,-4424.7801,-3942.1933,-4295.2894,-3767.0716,-4116.946,-4462.3237,-3919.6895,-5431.4045,-3996.8065,-3903.6729,-3960.5527
-5025.6613,-3681.1937,-3532.6181,-4559.2842,-4256.3386,-5033.3674,-3943.8566,-5182.7976,-4179.3577,-4211.1476,-4187.3655,-3978.5866,-3682.5514,-4501.2091,-4566.5751,-4608.0019,-4319.2429,-3661.0209,-4713.0823,-4498.3014,-3871.9936,-5102.5978,-4343.629,-4304.6517,-3771.9189,-4650.9456,-4037.5786,-4274.3282,-3682.7085,-4394.462,-4194.0745,-4080.6105,-3841.1343,-3578.3314,-5191.1085,-3913.1601,-3971.0613,-5402.4737,-5698.127,-4424.7801,-4575.0445,-4603.1786,-3767.0716,-4116.946,-4462.3237,-4054.2141,-5431.4045,-4093.178,-4532.882,-3960.5527
-5025.6613,-4133.5689,-4016.2642,-4624.0682,-4256.3386,-5181.2583,-4569.6103,-5182.7976,-4179.3577,-4211.1476,-4187.3655,-4268.0074,-3682.5514,-4624.568,-4946.9206,-5082.7069,-4319.2429,-3661.0209,-4713.0823,-4531.6627,-4090.5946,-5102.5978,-4343.629,-4304.6517,-3773.435,-4650.9456,-4037.5786,-4274.3282,-3895.5243,-4394.462,-4194.0745,-4410.5816,-4185.4554,-3685.9708,-5417.141,-3913.1601,-3971.0613,-5402.4737,-5698.127,-4424.7801,-4879.7661,-4603.1786,-4138.3962,-4116.946,-4991.2986,-4157.1169,-5431.4045,-4165.4097,-4559.2308,-4136.4182
