Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
4.3556018e+09,2.9975397e+09,4.0392562e+09,4.2353376e+09,3.4365791e+09,3.0702768e+09,3.1985986e+09,3.9448808e+09,2.7435741e+09,3.7388626e+09,3.3841676e+09,3.9522268e+09,3.5586311e+09,3.7198068e+09,3.3063667e+09,3.2023612e+09,2.0159368e+09,2.6634379e+09,3.5187881e+09,4.1845489e+09,2.2878442e+09,2.3266656e+09,3.5459642e+09,3.3139383e+09,2.756375e+09,3.4194739e+09,3.7729131e+09,3.486394e+09,3.3620733e+09,3.7849215e+09,3.0707725e+09,3.8750797e+09,3.3591845e+09,2.9643993e+09,2.8715161e+09,2.9284876e+09,3.3680161e+09,4.132132e+09,2.7917879e+09,3.1250237e+09,3.0251727e+09,3.6908247e+09,3.3017246e+09,2.9191243e+09,3.9284018e+09,3.8318412e+09,3.2070696e+09,2.4734258e+09,3.4834405e+09,3.7501819e+09
3.5373494e+09,2.9975397e+09,4.0392562e+09,3.9732349e+09,3.4365791e+09,3.0702768e+09,3.1985986e+09,1.5465393e+09,2.6630283e+09,3.7388626e+09,3.3841676e+09,3.9522268e+09,2.9681404e+09,2.796373e+09,3.3063667e+09,3.2023612e+09,2.0159368e+09,2.6634379e+09,2.9057263e+09,4.1845489e+09,2.2878442e+09,1.9417568e+09,3.4538214e+09,3.3139383e+09,2.756375e+09,3.0840552e+09,3.7729131e+09,3.486394e+09,2.3593681e+09,3.7849215e+09,3.0707725e+09,3.8750797e+09,3.3591845e+09,2.1544243e+09,2.8715161e+09,2.9284876e+09,3.3680161e+09,3.4707877e+09,2.0104184e+09,1.9178693e+09,2.620639e+09,3.6908247e+09,3.3017246e+09,2.9191243e+09,2.1575404e+09,3.8318412e+09,2.576743e+09,2.4734258e+09,3.4834405e+09,2.6091532e+09
3.5373494e+09,2.9975397e+09,3.0478662e+09,3.9732349e+09,2.833107e+09,3.0702768e+09,1.4353159e+09,1.5465393e+09,2.6630283e+09,3.7388626e+09,2.250707e+09,3.7807482e+09,2.9681404e+09,2.796373e+09,2.8216908e+09,2.8235194e+09,1.353903e+09,2.446456e+09,1.9690695e+09,4.1845489e+09,2.2878442e+09,1.9417568e+09,3.4538214e+09,2.6471976e+09,2.6524106e+09,3.0840552e+09,3.7729131e+09,3.0846667e+09,2.3593681e+09,3.7849215e+09,3.0707725e+09,2.392571e+09,3.3591845e+09,2.1544243e+09,2.231356e+09,2.541412e+09,2.436014e+09,3.4707877e+09,2.0104184e+09,1.9178693e+09,2.620639e+09,3.4617697e+09,3.3017246e+09,1.7298578e+09,2.1575404e+09,3.8318412e+09,2.576743e+09,2.4734258e+09,2.5394056e+09,2.6091532e+09
2.8262436e+09,2.5877968e+09,2.2354795e+09,3.9653397e+09,1.202751e+09,2.9154714e+09,1.1345676e+09,1.5465393e+09,2.3650443e+09,3.6327936e+09,2.2079605e+09,3.0201461e+09,2.5544701e+09,2.796373e+09,2.4432068e+09,2.8235194e+09,1.353903e+09,2.446456e+09,1.9690695e+09,2.9403599e+09,1.9536146e+09,1.9417568e+09,3.4538214e+09,2.6471976e+09,2.0052514e+09,3.0840552e+09,3.5997612e+09,2.7309924e+09,2.3593681e+09,3.7849215e+09,3.0707725e+09,2.049912e+09,2.6539433e+09,1.842047e+09,2.0827153e+09,2.541412e+09,2.436014e+09,2.6772716e+09,2.0104184e+09,1.9178693e+09,2.620639e+09,3.4617697e+09,3.3017246e+09,1.7298578e+09,2.1575404e+09,2.5181151e+09,1.4736217e+09,1.400456e+09,2.4144117e+09,1.2591266e+09
2.6800451e+09,2.5877968e+09,2.2354795e+09,3.6430055e+09,1.202751e+09,2.1756821e+09,1.1345676e+09,1.5465393e+09,2.3650443e+09,3.6327936e+09,1.9773922e+09,2.0449443e+09,2.5544701e+09,2.2573779e+09,2.4432068e+09,1.7350005e+09,1.353903e+09,2.446456e+09,1.5025146e+09,2.9403599e+09,1.9536146e+09,1.9417568e+09,1.8871309e+09,1.4626441e+09,2.0052514e+09,3.0840552e+09,3.5997612e+09,2.7309924e+09,2.3593681e+09,3.7849215e+09,1.4596988e+09,2.049912e+09,2.5386924e+09,1.842047e+09,2.0827153e+09,2.541412e+09,2.0446474e+09,2.6734137e+09,1.8427547e+09,1.612969e+09,1.2773798e+09,2.4660083e+09,3.2888642e+09,1.7298578e+09,2.1575404e+09,2.5181151e+09,1.4736217e+09,1.400456e+09,2.4144117e+09,1.2591266e+09
2.6800451e+09,2.5877968e+09,2.0819729e+09,3.3842099e+09,1.0347518e+09,2.1756821e+09,1.1345676e+09,1.5465393e+09,2.3650443e+09,3.6327936e+09,1.6301884e+09,2.0449443e+09,2.5544701e+09,1.7803421e+09,1.3785705e+09,1.7350005e+09,6.6514372e+08,2.446456e+09,1.215276e+09,2.9403599e+09,1.3764593e+09,1.7141229e+09,1.8241793e+09,1.4626441e+09,2.0052514e+09,2.4077832e+09,3.5997612e+09,2.7309924e+09,1.8704907e+09,3.7849215e+09,1.4596988e+09,1.1969779e+09,2.5386924e+09,1.842047e+09,2.0827153e+09,1.9688188e+09,2.0446474e+09,2.2932282e+09,1.8427547e+09,1.599421e+09,1.2773798e+09,2.4660083e+09,3.2888642e+09,1.7298578e+09,2.1575404e+09,2.1217645e+09,9.8100713e+08,1.3961306e+09,2.4144117e+09,1.2591266e+09
2.6800451e+09,1.4520346e+09,2.0819729e+09,3.3842099e+09,1.0347518e+09,1.525872e+09,1.1345676e+09,1.2496013e+09,2.3650443e+09,3.1722772e+09,1.6301884e+09,2.0449443e+09,2.5544701e+09,1.7803421e+09,1.3785705e+09,1.7350005e+09,6.6514372e+08,2.446456e+09,1.215276e+09,1.0277056e+09,7.9454705e+08,1.7141229e+09,1.8241793e+09,1.4626441e+09,2.0052514e+09,2.4077832e+09,3.5997612e+09,1.3738646e+09,1.8704907e+09,2.6874141e+09,1.4596988e+09,1.1969779e+09,1.9631205e+09,1.842047e+09,2.0827153e+09,1.9688188e+09,1.5704053e+09,2.2932282e+09,1.6879965e+09,1.4271695e+09,1.2773798e+09,2.2598267e+09,3.2888642e+09,1.7298578e+09,1.8660327e+09,2.1217645e+09,9.8100713e+08,1.3961306e+09,2.1059877e+09,1.2591266e+09
2.6800451e+09,1.4520346e+09,1.4619793e+09,1.8665461e+09,1.0347518e+09,1.525872e+09,1.1345676e+09,1.2496013e+09,1.4843518e+09,3.1722772e+09,1.6301884e+09,1.890546e+09,2.4856426e+09,1.3740355e+09,1.3560449e+09,1.2405304e+09,6.6514372e+08,1.3373684e+09,7.5700999e+08,1.0277056e+09,7.9454705e+08,1.7141229e+09,1.68856e+09,1.4626441e+09,1.6493412e+09,1.7676068e+09,1.7588066e+09,1.3738646e+09,1.8230674e+09,2.6874141e+09,1.4596988e+09,8.9143466e+08,1.9631205e+09,1.6965785e+09,1.1224041e+09,1.9688188e+09,1.3008082e+09,2.2932282e+09,1.6879965e+09,1.4271695e+09,1.1919127e+09,2.1545308e+09,2.0539266e+09,1.4162643e+09,1.6983506e+09,2.1217645e+09,9.8100713e+08,1.3961306e+09,1.9309558e+09,9.7171125e+08
1.6519209e+09,9.9514017e+08,1.4619793e+09,1.8665461e+09,1.0347518e+09,1.525872e+09,1.1345676e+09,1.2496013e+09,1.2911612e+09,2.4772729e+09,6.2327673e+08,1.890546e+09,2.4856426e+09,1.3740355e+09,1.3560449e+09,1.2405304e+09,6.6514372e+08,1.3373684e+09,7.5700999e+08,1.0277056e+09,7.9454705e+08,1.2373717e+09,1.3209792e+09,1.1312566e+09,1.2000257e+09,1.7676068e+09,1.7588066e+09,1.3738646e+09,1.8230674e+09,2.6709342e+09,9.4590633e+08,8.9143466e+08,1.9631205e+09,1.6965785e+09,1.1224041e+09,1.9688188e+09,1.3008082e+09,2.2932282e+09,1.432484e+09,1.4271695e+09,1.1919127e+09,1.7549852e+09,2.0539266e+09,1.4162643e+09,1.6983506e+09,2.1217645e+09,9.8100713e+08,1.3961306e+09,1.9309558e+09,9.7171125e+08
1.6519209e+09,9.9514017e+08,1.4619793e+09,1.2352348e+09,1.0347518e+09,1.3451109e+09,1.1345676e+09,1.2496013e+09,1.2911612e+09,2.4772729e+09,6.2327673e+08,1.890546e+09,2.3475798e+09,4.202701e+08,9.7273817e+08,1.2326237e+09,6.6514372e+08,1.3373684e+09,7.5700999e+08,1.0277056e+09,7.9454705e+08,1.2373717e+09,1.3209792e+09,1.1312566e+09,8.9718067e+08,1.7676068e+09,1.4071335e+09,1.3738646e+09,1.8230674e+09,2.3800274e+09,9.4590633e+08,8.2363861e+08,1.9631205e+09,1.6965785e+09,1.1224041e+09,1.9688188e+09,1.3008082e+09,2.2932282e+09,1.432484e+09,1.4271695e+09,1.1919127e+09,1.7549852e+09,1.7405046e+09,1.4162643e+09,1.1943885e+09,2.1217645e+09,7.8136959e+08,1.3961306e+09,7.7904454e+08,8.2036481e+08
1.6519209e+09,9.9514017e+08,1.0336336e+09,1.2352348e+09,1.0347518e+09,8.6791231e+08,1.0307632e+09,1.2496013e+09,1.0311991e+09,1.3033202e+09,6.2327673e+08,1.890546e+09,2.3475798e+09,4.202701e+08,9.7273817e+08,1.2326237e+09,6.6267763e+08,1.3373684e+09,7.5700999e+08,1.0277056e+09,7.9454705e+08,1.2373717e+09,1.3209792e+09,1.1312566e+09,8.9718067e+08,1.7676068e+09,1.4071335e+09,1.3738646e+09,1.6747385e+09,2.3800274e+09,9.4590633e+08,8.0100993e+08,1.4112447e+09,1.6965785e+09,1.1224041e+09,1.9688188e+09,1.1156721e+09,1.8318955e+09,1.0327102e+09,1.4271695e+09,1.1919127e+09,1.7549852e+09,1.7405046e+09,1.4162643e+09,1.1943885e+09,1.8485505e+09,7.8136959e+08,1.3961306e+09,7.7904454e+08,8.2036481e+08
1.4695872e+09,9.9514017e+08,1.0336336e+09,1.2352348e+09,1.0347518e+09,8.6791231e+08,9.7136893e+08,7.0024201e+08,1.0311991e+09,1.3033202e+09,6.2327673e+08,1.5833937e+09,2.1890928e+09,4.202701e+08,9.7273817e+08,1.2326237e+09,6.6267763e+08,1.3373684e+09,5.2153061e+08,1.0277056e+09,7.9454705e+08,1.2007118e+09,1.0979037e+09,6.3161539e+08,8.9718067e+08,1.7676068e+09,1.4071335e+09,1.3608979e+09,1.6747385e+09,1.2598311e+09,9.4590633e+08,8.0100993e+08,1.4112447e+09,1.6965785e+09,1.1224041e+09,1.9688188e+09,7.7336895e+08,1.8318955e+09,7.9379933e+08,1.4271695e+09,1.0294921e+09,1.3512912e+09,1.4201216e+09,1.4162643e+09,9.4284699e+08,1.8485505e+09,7.8136959e+08,1.3961306e+09,7.7904454e+08,8.2036481e+08
