Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
2.1488349e+09,2.5211744e+09,1.2259544e+09,1.7262983e+09,1.7225538e+09,2.8047304e+09,2.0055744e+09,2.1132816e+09,1.5414973e+09,2.2097199e+09,2.7495449e+09,2.1810614e+09,8.0035225e+08,2.4371428e+09,1.8183973e+09,2.8741117e+09,2.2021499e+09,1.924545e+09,1.8260707e+09,2.0403234e+09,1.086142e+09,2.8949571e+09,9.2981405e+08,2.152272e+09,1.7269405e+09,1.0244846e+09,2.4075129e+09,1.6543848e+09,1.5458688e+09,2.7395245e+09,1.3796468e+09,2.6453592e+09,1.9019515e+09,1.7617925e+09,1.6052424e+09,1.4870785e+09,1.8168842e+09,2.1810667e+09,1.106413e+09,2.2429887e+09,1.5116433e+09,1.6591958e+09,2.0149187e+09,2.3998686e+09,1.8941337e+09,2.3519991e+09,3.1199492e+09,2.0372328e+09,2.7046519e+09,2.5752483e+09
8.9052481e+08,1.917095e+09,1.0294781e+09,1.1522218e+09,1.204218e+09,1.2029279e+09,6.1948727e+08,1.5451474e+09,1.4208657e+09,1.771451e+09,9.0178957e+08,1.2608523e+09,8.0035225e+08,1.0512016e+09,7.5914965e+08,1.6201369e+09,1.5037016e+09,1.5484285e+09,1.3396957e+09,1.5699547e+09,1.086142e+09,1.193754e+09,9.2981405e+08,1.4004398e+09,1.7269405e+09,1.0244846e+09,1.3040716e+09,1.2932993e+09,1.3752582e+09,8.4319566e+08,1.0656416e+09,1.3776145e+09,1.736628e+09,6.0447258e+08,7.4596235e+08,7.6890558e+08,1.8168842e+09,1.8710933e+09,1.106413e+09,1.2183601e+09,1.4522467e+09,5.8323419e+08,1.8960035e+09,1.1611916e+09,1.4798396e+09,1.2175581e+09,1.7262424e+09,1.7629968e+09,1.4442916e+09,1.8680803e+09
2.2399835e+08,1.4886079e+09,1.0276594e+09,9.0557482e+08,6.4796252e+08,1.0825206e+09,6.1948727e+08,9.4835426e+08,6.0923585e+08,1.0542825e+09,9.0178957e+08,7.0592498e+08,8.0035225e+08,6.8433201e+08,6.9316023e+08,1.1878936e+09,1.0380922e+09,8.7005161e+08,9.790994e+08,1.0453131e+09,9.9520417e+08,7.8109889e+08,7.0490763e+08,1.0742448e+09,7.7920405e+08,1.0244846e+09,6.9441068e+08,8.618574e+08,1.0693286e+09,8.3241325e+08,8.9832233e+08,9.4379324e+08,1.2200189e+09,4.4501812e+08,5.1153669e+08,7.6890558e+08,1.687395e+09,8.3912164e+08,8.1336806e+08,9.7143558e+08,7.6297011e+08,4.9499457e+08,9.6537164e+08,8.8970559e+08,7.4138212e+08,8.1845452e+08,6.6988912e+08,6.7414194e+08,9.3471935e+08,7.0684369e+08
2.2399835e+08,8.782816e+08,4.3218446e+08,6.6228482e+08,4.2284415e+08,6.4005551e+08,4.4035103e+08,6.0731537e+08,6.0923585e+08,8.1234318e+08,9.0178957e+08,5.1459164e+08,6.0218355e+08,5.2253255e+08,2.6578568e+08,3.093082e+08,3.3309976e+08,6.9600878e+08,9.1879672e+08,8.4693803e+08,7.8846286e+08,5.1928647e+08,3.2883429e+08,4.6318173e+08,4.1012029e+08,8.422971e+08,6.9441068e+08,3.2823249e+08,5.4378231e+08,3.7047049e+08,8.7602724e+08,5.4316013e+08,4.4781725e+08,4.4501812e+08,5.1153669e+08,4.1547314e+08,8.8275062e+08,4.1126002e+08,6.7390428e+08,7.3747791e+08,4.1022025e+08,4.9499457e+08,2.8115707e+08,8.1851944e+08,6.5088097e+08,5.9122591e+08,5.4520018e+08,5.7757867e+08,5.6824794e+08,4.6032863e+08
2.2399835e+08,8.782816e+08,1.4333094e+08,4.0068247e+08,4.2284415e+08,4.4553768e+08,3.6465096e+08,6.0731537e+08,5.9405457e+08,3.1361243e+08,5.3498485e+08,1.0600969e+08,2.3859076e+08,3.4629695e+08,2.6578568e+08,3.093082e+08,3.3309976e+08,5.6141793e+08,6.3894641e+08,4.8528671e+08,3.0445538e+08,4.7707849e+08,3.2883429e+08,4.1465502e+08,4.1012029e+08,2.6150929e+08,6.9441068e+08,3.2823249e+08,3.0220712e+08,3.3325893e+08,2.8744504e+08,4.8842082e+08,3.2198308e+08,1.8328793e+08,3.7378489e+08,1.7201027e+08,6.4432206e+08,4.1126002e+08,4.7477646e+08,5.2177937e+08,2.0720874e+08,2.8777073e+08,2.8115707e+08,6.3534464e+08,4.3594864e+08,4.0055858e+08,3.1541821e+08,3.3940099e+08,3.4956173e+08,3.8899286e+08
2.2399835e+08,4.0232952e+08,1.4333094e+08,4.0068247e+08,1.9834845e+08,4.4553768e+08,2.5018132e+08,2.9657707e+08,3.4403033e+08,2.8188116e+08,3.2914718e+08,1.0600969e+08,1.8484722e+08,2.9643251e+08,1.8440652e+08,3.093082e+08,1.4079877e+08,2.0415739e+08,3.2755663e+08,4.8528671e+08,3.0445538e+08,1.7532616e+08,1.6316526e+08,1.3797635e+08,3.7069446e+08,2.6150929e+08,4.5478499e+08,2.5680085e+08,3.0220712e+08,2.7185741e+08,2.8744504e+08,3.6986788e+08,3.2198308e+08,90099130,1.8710802e+08,1.4356288e+08,6.4432206e+08,3.8910161e+08,3.0564065e+08,4.2990067e+08,1.9616234e+08,2.8777073e+08,2.0408956e+08,2.8466035e+08,3.764581e+08,1.6591304e+08,2.9248372e+08,2.3370127e+08,2.7413601e+08,1.7856098e+08
1.7354709e+08,3.204099e+08,1.4333094e+08,3.6745809e+08,1.0725117e+08,2.6215691e+08,1.9963743e+08,1.9445293e+08,2.8473032e+08,1.9582577e+08,62131494,1.0600969e+08,1.1466866e+08,1.7713726e+08,1.6073756e+08,1.3066113e+08,1.4079877e+08,1.7236842e+08,1.8362605e+08,2.0946969e+08,2.8158459e+08,1.7532616e+08,1.6291714e+08,1.3797635e+08,2.7114832e+08,2.6150929e+08,4.5478499e+08,2.5680085e+08,2.9843332e+08,1.5175183e+08,2.6374703e+08,2.1287089e+08,1.8284094e+08,81619451,64010867,1.2949422e+08,5.5907245e+08,2.0204469e+08,2.4315073e+08,2.2641593e+08,1.9616234e+08,2.067338e+08,1.2827285e+08,2.8466035e+08,2.0448555e+08,1.6206245e+08,1.4977403e+08,1.8001981e+08,1.8603969e+08,1.4895246e+08
1.7354709e+08,1.0875993e+08,1.3686163e+08,1.967413e+08,1.0643006e+08,2.1289981e+08,1.131891e+08,1.9445293e+08,1.447567e+08,92848339,62131494,76002981,53776631,82775656,1.273685e+08,1.0121321e+08,53517344,1.3937812e+08,1.8362605e+08,2.0946969e+08,1.7406785e+08,1.7532616e+08,1.2989638e+08,58450523,1.3991613e+08,2.6150929e+08,3.4632772e+08,1.3937086e+08,1.6260871e+08,86111271,1.9186685e+08,2.0700022e+08,1.7410863e+08,72460948,64010867,1.0215828e+08,1.4749619e+08,95738997,2.4315073e+08,1.7906767e+08,1.703081e+08,94413638,1.2827285e+08,2.8466035e+08,2.0448555e+08,92099112,1.3140111e+08,1.0530774e+08,1.3919432e+08,1.3546942e+08
1.0391141e+08,1.0875993e+08,1.2162154e+08,1.420615e+08,79437188,1.7309337e+08,87817344,1.9445293e+08,93612238,66382316,62131494,74606390,53776631,67429654,96468091,35995853,52710364,69931042,1.7701925e+08,2.0520314e+08,1.0537566e+08,1.1453301e+08,83690068,58450523,1.2678479e+08,2.0878359e+08,1.4031538e+08,68825884,1.1052564e+08,45721134,1.7796007e+08,1.3993749e+08,1.4315681e+08,38575167,64010867,39870591,1.4749619e+08,85736192,1.9340206e+08,1.2213718e+08,65332475,94413638,98550734,1.2728095e+08,1.2982516e+08,76404055,1.106532e+08,85148145,1.3919432e+08,84426070
66045802,1.0875993e+08,76369375,1.073725e+08,71985101,88586960,87817344,1.574998e+08,65931145,60105447,56892520,63181412,40091992,46022401,64165206,35995853,44998032,59079661,1.3759122e+08,1.5025155e+08,1.0537566e+08,68106085,61711325,48103483,1.0164257e+08,1.3072677e+08,1.122567e+08,68825884,66740844,45721134,1.1052759e+08,64948011,54643278,19910684,22509365,17335941,1.4749619e+08,32885645,1.4032607e+08,62390831,49952628,80351123,96265436,97047532,1.2982516e+08,64399910,99274996,82616754,83111102,46563024
