Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
2.0863566e+09,3.2796578e+09,3.9772852e+09,2.6926285e+09,3.8375625e+09,2.6211242e+09,2.0658282e+09,2.6656833e+09,2.394582e+09,2.2523027e+09,3.0323671e+09,2.9150598e+09,2.0628576e+09,2.4674139e+09,2.741145e+09,2.8622699e+09,2.1724276e+09,2.8885899e+09,3.1956419e+09,2.8527201e+09,4.0232325e+09,2.8834351e+09,2.298359e+09,2.6495446e+09,1.7659826e+09,2.9246441e+09,3.1352209e+09,1.3358382e+09,3.4901757e+09,2.6765378e+09,2.2994e+09,3.6516722e+09,3.6560605e+09,3.2007085e+09,4.0707885e+09,2.5197634e+09,3.6969393e+09,2.9607754e+09,3.798498e+09,2.7044233e+09,2.9579943e+09,2.7725635e+09,3.0069025e+09,2.3633009e+09,3.557665e+09,2.1392199e+09,3.7856461e+09,3.8677594e+09,3.0507187e+09,3.6899534e+09
1.6793984e+09,7.4443717e+08,2.8563016e+09,2.6326455e+09,2.220418e+09,2.6211242e+09,9.2540596e+08,1.2839675e+09,1.2443696e+09,1.0648754e+09,2.1054151e+09,1.66739e+09,1.5056181e+09,1.6777533e+09,2.6756075e+09,2.2390883e+09,1.7504915e+09,1.6575655e+09,1.8509435e+09,1.8480019e+09,2.5418185e+09,1.4114524e+09,1.883082e+09,1.2141729e+09,1.7659826e+09,1.1804171e+09,2.2246648e+09,1.0572356e+09,1.9976254e+09,2.2702251e+09,1.9490417e+09,2.9915997e+09,3.4398356e+09,2.701942e+09,2.0394121e+09,2.5197634e+09,2.4697356e+09,1.8307478e+09,2.0412008e+09,1.2397244e+09,1.6983999e+09,2.1921294e+09,2.2534139e+09,1.3645487e+09,2.2141322e+09,2.1392199e+09,1.8253553e+09,3.204304e+09,2.7346514e+09,1.4984276e+09
1.4568205e+09,4.7364929e+08,1.5673144e+09,1.2356246e+09,2.220418e+09,1.5838715e+09,7.4965297e+08,1.0290027e+09,1.2443696e+09,1.0648754e+09,2.1028501e+09,1.66739e+09,1.5056181e+09,1.3126956e+09,1.3968543e+09,2.2390883e+09,1.0677986e+09,8.606521e+08,1.0013142e+09,1.1992146e+09,1.889779e+09,1.408006e+09,8.5496923e+08,1.1976815e+09,1.4991065e+09,1.1449338e+09,1.1281688e+09,1.0572356e+09,1.1213483e+09,1.4327627e+09,1.8738494e+09,2.2660082e+09,2.2426613e+09,1.280781e+09,1.5322759e+09,2.0023476e+09,1.1358335e+09,1.2382492e+09,1.2229683e+09,6.623421e+08,1.3012641e+09,1.4185116e+09,1.7418087e+09,7.0143806e+08,1.9200402e+09,1.8027455e+09,1.8253553e+09,1.8554223e+09,1.5124689e+09,1.1444606e+09
1.3368553e+09,4.7364929e+08,1.349798e+09,1.0641732e+09,1.2540465e+09,1.3097915e+09,5.9957262e+08,8.1011019e+08,8.579044e+08,6.7939004e+08,9.6465515e+08,8.622315e+08,9.5957856e+08,1.0877346e+09,9.8339469e+08,1.3363805e+09,1.0677986e+09,7.3783167e+08,7.7717165e+08,3.084481e+08,1.4133882e+09,8.7208494e+08,7.9675077e+08,7.2331949e+08,1.0225872e+09,7.572989e+08,8.8744838e+08,6.6286954e+08,9.5400383e+08,1.1315136e+09,1.3830766e+09,1.2376475e+09,2.0686362e+09,1.1368582e+09,1.3095426e+09,1.1040261e+09,1.1358335e+09,8.1732624e+08,7.883314e+08,3.9312523e+08,9.7667558e+08,8.1974718e+08,1.2202053e+09,7.0143806e+08,1.0051026e+09,1.3176178e+09,1.3197206e+09,1.2533856e+09,9.8346841e+08,4.7546444e+08
6.9085001e+08,3.381773e+08,9.4496892e+08,8.5790542e+08,1.0749466e+09,1.2979152e+09,5.8093508e+08,6.716673e+08,8.579044e+08,4.4533036e+08,6.9204206e+08,7.9986855e+08,8.2314613e+08,8.1232671e+08,5.1131702e+08,1.2289748e+09,7.5311009e+08,4.919289e+08,5.9183264e+08,2.0141137e+08,5.1490081e+08,4.2562509e+08,5.9713939e+08,4.8727547e+08,7.2018981e+08,6.1899573e+08,6.2961902e+08,3.8389185e+08,5.6802035e+08,1.1315136e+09,8.9935937e+08,8.957368e+08,1.3667572e+09,8.6695701e+08,8.3164572e+08,6.8006834e+08,7.4395308e+08,6.2793092e+08,3.703663e+08,2.4811452e+08,6.9974122e+08,7.9212295e+08,7.5312779e+08,3.3921762e+08,6.5846013e+08,6.2264523e+08,6.8416135e+08,9.7428047e+08,6.4969939e+08,2.1354947e+08
3.4638735e+08,3.0962866e+08,7.4457165e+08,3.2283761e+08,8.9225185e+08,5.7728959e+08,4.4092715e+08,5.1892304e+08,6.1070932e+08,3.8285701e+08,5.4021656e+08,3.6794807e+08,5.5591695e+08,4.9087204e+08,3.708928e+08,8.5552505e+08,5.4547948e+08,4.8792054e+08,2.1993861e+08,1.4318803e+08,5.1490081e+08,3.9573235e+08,5.5767785e+08,3.2552e+08,4.3537329e+08,5.4538759e+08,6.020049e+08,3.0494057e+08,5.5117836e+08,6.1084954e+08,6.0140783e+08,4.9788759e+08,9.4209742e+08,3.8245201e+08,5.4868226e+08,6.3523624e+08,5.6803737e+08,5.0487241e+08,2.3638929e+08,2.4811452e+08,4.0359859e+08,5.5656858e+08,6.4529382e+08,2.290988e+08,4.3013136e+08,6.1383174e+08,4.797655e+08,4.5283441e+08,5.254291e+08,2.1354947e+08
2.1307006e+08,2.2098208e+08,5.5641746e+08,3.2283761e+08,6.7857434e+08,4.4110303e+08,3.0549692e+08,4.4203839e+08,4.0645351e+08,2.8253929e+08,3.1512648e+08,2.9355427e+08,4.1470592e+08,2.1690479e+08,2.3632859e+08,3.9863838e+08,4.1521835e+08,2.5389414e+08,1.5488682e+08,1.4318803e+08,2.7081288e+08,1.6771884e+08,4.2923171e+08,2.5051727e+08,3.459479e+08,2.3494628e+08,5.4797678e+08,2.3366285e+08,2.7886053e+08,4.4213237e+08,4.2050038e+08,3.055782e+08,8.1523002e+08,2.9478684e+08,4.7264309e+08,4.2019379e+08,3.3740204e+08,4.7067812e+08,1.7483633e+08,1.8558634e+08,2.4544289e+08,5.0996206e+08,5.482869e+08,1.8792507e+08,3.2586326e+08,4.1946873e+08,2.6132337e+08,4.046443e+08,2.5277908e+08,1.5418514e+08
1.6187662e+08,1.6890263e+08,4.2777592e+08,1.8140093e+08,5.0413179e+08,3.0060158e+08,2.705311e+08,3.2861783e+08,3.0595723e+08,2.2419025e+08,3.1512648e+08,1.6332031e+08,2.5762402e+08,86681956,1.2826154e+08,3.1033117e+08,3.0349031e+08,2.369116e+08,93884190,90276362,1.9662984e+08,1.6771884e+08,2.9557704e+08,1.910428e+08,2.4702721e+08,1.9202212e+08,4.4761643e+08,1.8143871e+08,1.7442788e+08,4.1870276e+08,3.3320705e+08,2.535996e+08,6.4565799e+08,2.5507926e+08,4.3322073e+08,2.5430022e+08,3.1315958e+08,3.0397982e+08,1.0059448e+08,98133374,1.6715522e+08,3.768451e+08,3.1347291e+08,1.3695427e+08,3.2586326e+08,3.6065099e+08,2.3569213e+08,3.1398682e+08,2.3430182e+08,85067463
1.216385e+08,1.3928825e+08,2.4651278e+08,1.8140093e+08,3.2350555e+08,1.7844895e+08,1.9590942e+08,2.3031836e+08,1.7982931e+08,1.6402884e+08,2.7887611e+08,1.1149783e+08,2.3963277e+08,85453288,66908474,1.5588789e+08,2.4089214e+08,1.4565264e+08,66501565,78506655,1.4847089e+08,94677504,2.1619048e+08,1.1950473e+08,1.531344e+08,1.4566992e+08,2.5915354e+08,1.2655296e+08,1.5838956e+08,2.3331501e+08,2.6802899e+08,1.6352244e+08,4.0289092e+08,1.6034111e+08,3.03847e+08,2.2068322e+08,2.5546532e+08,2.2767916e+08,78285618,67514736,1.5589238e+08,2.5482885e+08,2.5094486e+08,81620980,2.0340109e+08,2.5878395e+08,1.7373064e+08,2.065088e+08,1.7269563e+08,65455674
1.0053598e+08,1.1371851e+08,2.1099001e+08,1.2707146e+08,3.0441153e+08,1.4218572e+08,1.07192e+08,1.9332415e+08,1.3087798e+08,58294522,1.9140498e+08,79742060,1.437044e+08,85453288,66908474,62827934,1.7823586e+08,1.1055343e+08,66501565,49728960,1.0921899e+08,72716669,1.8420177e+08,89188526,1.1094701e+08,1.0081917e+08,1.8816309e+08,92084365,89097383,1.725297e+08,1.8660192e+08,1.4964438e+08,4.0289092e+08,91722812,2.2589672e+08,1.6278392e+08,2.0418925e+08,1.1697565e+08,48198891,27725730,1.387173e+08,1.8511113e+08,1.7342937e+08,66601245,1.8165651e+08,1.7411103e+08,1.0824565e+08,1.2669858e+08,1.196041e+08,41718921
