Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
-4422.1459,-2457.4571,-3160.611,-3646.3606,-2721.5089,-3453.0811,-3832.531,-3478.858,-3094.0598,-2697.8421,-3495.1129,-3229.588,-2939.9209,-3542.4286,-3697.1381,-3148.5124,-3331.4426,-3610.4727,-3517.9837,-3271.2658,-2970.4221,-3510.7164,-2635.6038,-3028.0205,-3169.7058,-2558.2682,-2558.373,-2270.9862,-2781.2584,-2927.5497,-3159.7497,-3992.7131,-2717.3292,-3643.5996,-2842.0103,-3071.0138,-3408.3386,-2835.5274,-3255.4697,-3928.0533,-3461.6655,-2845.6016,-3136.8174,-3642.6072,-3034.9746,-3428.3039,-3227.6074,-2944.0512,-3277.1325,-2787.2715
-4422.1459,-3143.7945,-3513.4827,-3646.3606,-3110.9704,-4112.8085,-3832.531,-3618.3314,-3175.8715,-3641.4276,-3628.8059,-3292.3554,-3503.2213,-3542.4286,-3697.1381,-3148.5124,-3331.4426,-4498.529,-4150.7839,-3271.2658,-3237.671,-3510.7164,-2956.4515,-3028.0205,-3936.5554,-3165.139,-3364.4055,-2563.3584,-3063.4829,-2927.5497,-3257.4573,-4176.1866,-2717.3292,-3643.5996,-2842.0103,-3195.4243,-3408.3386,-3067.8696,-3890.7998,-3928.0533,-3508.0781,-2845.6016,-3136.8174,-3642.6072,-3398.581,-3428.3039,-3227.6074,-3303.9802,-3359.598,-2787.354
-4597.3059,-3143.7945,-3513.4827,-3646.3606,-3110.9704,-4112.8085,-3832.531,-3618.3314,-3349.6169,-4262.3148,-3661.9683,-3534.8822,-4141.1448,-3542.4286,-3697.1381,-3606.1204,-3522.3005,-4598.9702,-4150.7839,-3510.3659,-3335.4678,-3510.7164,-3426.4771,-3028.0205,-3936.5554,-3504.1664,-3364.4055,-3134.0237,-3063.4829,-2927.5497,-4227.0372,-4176.1866,-2849.9062,-4137.6639,-3780.6922,-3315.5952,-3408.3386,-4275.0461,-3890.7998,-3928.0533,-3739.6182,-3867.1525,-3192.2218,-3698.7937,-3398.581,-3428.3039,-3783.1743,-4425.6717,-4174.1881,-3012.094
-4597.3059,-3143.7945,-3513.4827,-3646.3606,-3242.5775,-4112.8085,-3832.531,-3618.3314,-3349.6169,-4262.3148,-3958.0801,-3534.8822,-4141.1448,-3542.4286,-3697.1381,-3606.1204,-3635.7691,-4598.9702,-4150.7839,-3535.8652,-3698.2114,-3510.7164,-3426.4771,-4021.2931,-3986.048,-3504.1664,-3525.7888,-3134.0237,-3203.7983,-2927.5497,-4227.0372,-4176.1866,-3421.7118,-4137.6639,-3780.6922,-3315.5952,-3644.8796,-4275.0461,-3890.7998,-3928.0533,-4317.155,-3867.1525,-3615.6755,-3704.2934,-3398.581,-3428.3039,-3783.1743,-4425.6717,-4174.1881,-3510.7345
-5209.7123,-3336.9884,-3513.4827,-3646.3606,-4052.7879,-4112.8085,-3832.531,-3774.4973,-3914.3763,-4262.3148,-3958.0801,-3794.7621,-4141.1448,-3542.4286,-3697.1381,-3606.1204,-3761.7834,-4646.3746,-4150.7839,-4417.3555,-4174.5808,-3510.7164,-3628.8784,-4236.3441,-4410.3224,-4099.4947,-3525.7888,-3248.2926,-3475.8096,-3975.4545,-4227.0372,-4176.1866,-3840.3578,-4137.6639,-3780.6922,-3535.5189,-3943.3772,-4671.0885,-3973.0572,-3928.0533,-4317.155,-3867.1525,-3615.6755,-3704.2934,-3398.581,-3475.0349,-4038.8568,-4455.2156,-4303.8276,-3510.7345
-5209.7123,-3336.9884,-3800.4887,-3646.3606,-4245.5051,-4112.8085,-3873.7331,-3774.4973,-3914.3763,-4262.3148,-4353.2394,-3857.7364,-4141.1448,-3542.4286,-3704.9399,-3797.0636,-3761.7834,-4646.3746,-4708.3316,-4512.5518,-4468.5971,-3510.7164,-3698.458,-4236.3441,-4410.3224,-4099.4947,-3855.8473,-3677.0408,-3798.737,-3975.4545,-4227.0372,-4176.1866,-3840.3578,-4137.6639,-3780.6922,-3535.5189,-3943.3772,-4671.0885,-4180.8556,-3942.2991,-4317.155,-4182.225,-3758.4115,-3704.2934,-3398.581,-3475.0349,-4650.7294,-4941.3634,-4303.8276,-3510.7345
-5209.7123,-3336.9884,-4358.6023,-3658.5507,-4245.5051,-4112.8085,-4850.7046,-4107.1812,-4001.6848,-4262.3148,-4353.2394,-3857.7364,-4141.1448,-4022.8593,-4426.6048,-3797.0636,-3761.7834,-4808.4944,-4708.3316,-4512.5518,-4468.5971,-4305.8952,-3967.9879,-4614.2738,-4410.3224,-4299.833,-4277.0521,-3799.9938,-4353.9868,-3975.4545,-5286.873,-4176.1866,-3840.3578,-4145.764,-3780.6922,-3915.9601,-4272.3441,-4671.0885,-4180.8556,-4111.6923,-4472.1523,-4730.1295,-3758.4115,-4062.8152,-3704.5839,-3702.3743,-4650.7294,-4941.3634,-4303.8276,-3541.9529
-5209.7123,-3731.133,-4487.7487,-3658.5507,-4245.5051,-4112.8085,-4850.7046,-4254.5992,-4108.4405,-4559.4226,-4353.2394,-4215.8225,-4141.1448,-4248.9081,-4426.6048,-3797.0636,-3761.7834,-4808.4944,-4708.3316,-5006.8821,-4468.5971,-4305.8952,-4947.6343,-5761.251,-4410.3224,-4299.833,-4837.7413,-3988.5266,-4382.3564,-3975.4545,-5286.873,-4176.1866,-4586.3389,-4145.764,-3780.6922,-4073.3542,-4588.724,-4671.0885,-4420.194,-4111.6923,-4472.1523,-4730.1295,-3987.3737,-4062.8152,-3828.5175,-3702.3743,-4650.7294,-4941.3634,-4303.8276,-3541.9529
-5209.7123,-3878.7455,-4487.7487,-4179.5471,-4337.3271,-4128.7242,-4850.7046,-4351.8072,-4108.4405,-4559.4226,-5237.4731,-4215.8225,-4230.3229,-4554.5044,-4794.7983,-4447.0666,-3761.7834,-5209.408,-4914.2086,-5006.8821,-4468.5971,-5032.63,-5152.3614,-5761.251,-4410.3224,-4299.833,-4837.7413,-4610.9613,-4614.8402,-4084.6075,-5286.873,-4176.1866,-4586.3389,-4145.764,-4687.6586,-4363.7096,-4639.3439,-4720.5734,-4420.194,-4175.3688,-4472.1523,-4730.1295,-4116.8051,-4079.7509,-3887.2575,-3873.7725,-4650.7294,-4941.3634,-4696.5921,-4210.9842
-5322.5577,-4714.7461,-5195.8757,-4179.5471,-4337.3271,-4554.1962,-4850.7046,-4351.8072,-4108.4405,-4559.4226,-5237.4731,-4215.8225,-4230.3229,-4554.5044,-5213.6559,-4447.0666,-3821.8284,-5209.408,-4914.2086,-5006.8821,-4485.9977,-5032.63,-5152.3614,-5761.251,-4741.6096,-4299.833,-4992.5245,-4835.2082,-4614.8402,-4102.9129,-5286.873,-4456.2331,-4705.2284,-4145.764,-4687.6586,-4363.7096,-4639.3439,-4852.248,-4420.194,-4360.0716,-4535.8821,-4794.8955,-4116.8051,-4162.5741,-4047.6851,-3884.0894,-4650.7294,-4941.3634,-4829.9621,-4210.9842
-5322.5577,-4714.7461,-5195.8757,-4212.5285,-4337.3271,-4554.1962,-4850.7046,-4351.8072,-4108.4405,-4559.4226,-5237.4731,-4215.8225,-4646.5286,-4554.5044,-5213.6559,-4447.0666,-3964.9747,-5209.408,-4914.2086,-5006.8821,-4485.9977,-5032.63,-5495.156,-5761.251,-5096.7884,-5359.5647,-5021.5239,-4835.2082,-4614.8402,-4429.6572,-5286.873,-4456.2331,-4705.2284,-4145.764,-4687.6586,-4449.8015,-4639.3439,-4852.248,-4495.7041,-5580.3952,-4571.4219,-4841.3118,-4275.9597,-4162.5741,-4394.9399,-4486.0817,-4650.7294,-5373.9946,-4829.9621,-4320.6802
-5322.5577,-4963.3952,-5195.8757,-4800.1506,-4337.3271,-4554.1962,-4850.7046,-4351.8072,-4270.1206,-5072.371,-5872.5557,-4558.7435,-4649.9675,-5225.3587,-5213.6559,-4447.0666,-4402.2087,-5209.408,-5236.9192,-5006.8821,-4485.9977,-5032.63,-5860.2207,-5761.251,-5431.6861,-5359.5647,-5021.5239,-4835.2082,-4614.8402,-4429.6572,-5286.873,-4735.7221,-4707.9243,-4621.8647,-5380.0684,-4449.8015,-4808.3735,-5108.8148,-4553.7133,-5988.3401,-4841.1017,-4851.7208,-4404.4713,-4694.6291,-4394.9399,-4486.0817,-4735.22,-5373.9946,-4829.9621,-4320.6802
-5322.5577,-4963.3952,-5195.8757,-4800.1506,-4337.3271,-5250.293,-4850.7046,-4351.8072,-4357.4481,-5072.371,-5872.5557,-6007.1788,-4793.2748,-5345.6545,-5502.5317,-4447.0666,-4402.2087,-5853.1824,-6336.1084,-5006.8821,-4485.9977,-5032.63,-5860.2207,-5761.251,-5431.6861,-5359.5647,-5219.2287,-4835.2082,-4762.0806,-4429.6572,-5286.873,-4735.7221,-5951.0623,-4727.4398,-5380.0684,-4449.8015,-4862.7548,-5274.0031,-4553.7133,-6021.3641,-4841.1017,-4851.7208,-5272.6868,-4694.6291,-4428.7262,-4486.0817,-4866.5621,-5373.9946,-4829.9621,-4499.2904
