Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
423.71365,376.45687,393.75684,421.70255,385.245,414.49796,431.71238,405.85701,392.05267,401.80109,401.0198,418.48481,428.84346,392.90525,416.55743,396.38006,426.45152,383.17832,369.20285,421.94617,372.12239,408.68677,405.23503,410.64335,377.0801,414.81786,414.01298,428.21297,419.85868,398.93235,410.34462,389.3568,426.01217,392.01779,408.44836,417.6562,394.31499,362.48627,393.609,434.26499,415.31601,402.42471,401.80776,404.26004,439.46616,381.53927,389.04181,413.7382,440.64072,413.3755
418.89452,376.45687,393.75684,403.6889,369.88815,369.74003,415.00736,403.10569,389.74671,384.54372,401.0198,377.22726,411.16981,383.00632,398.47509,396.18011,361.64624,361.35443,369.20285,360.35178,372.12239,354.43958,404.14488,410.64335,373.69576,401.97224,397.97347,399.09684,378.26966,398.93235,408.60735,389.3568,405.44165,392.01779,394.31113,382.31126,394.31499,359.59004,393.609,428.68282,415.31601,402.42471,394.19404,331.51726,392.33293,381.53927,389.04181,391.78951,370.35153,384.74201
412.92131,355.56774,390.87423,355.42639,365.8106,369.74003,368.59462,378.33098,389.74671,384.54372,393.1857,360.43301,375.01754,383.00632,375.67144,380.99005,338.03099,359.07398,358.98737,360.35178,372.12239,344.32529,370.00135,354.42095,365.56406,401.97224,393.89995,372.98676,378.26966,342.82665,385.00979,349.35887,385.25168,378.6223,394.31113,359.94379,379.4086,357.93147,393.609,410.60528,400.96788,399.55034,394.19404,331.51726,376.57204,355.96274,372.05197,391.78951,370.35153,362.12357
380.59317,355.56774,382.43903,322.30215,325.94865,351.60955,368.59462,344.2021,378.08221,341.97744,393.1857,358.56249,375.01754,371.72814,375.67144,380.99005,338.03099,359.07398,355.84504,360.35178,328.82788,343.52988,359.89221,354.42095,303.90321,376.82084,368.27624,372.98676,375.24231,342.82665,347.04849,296.66362,385.25168,378.23725,363.29339,355.59696,346.09013,329.34145,379.86615,392.31749,400.96788,378.44053,304.45746,304.93433,376.57204,339.3576,370.4247,380.72099,370.35153,362.12357
380.59317,355.56774,319.97786,303.9923,311.70391,347.99545,349.26743,344.2021,378.08221,338.62826,351.04371,319.75987,375.01754,367.90763,370.40897,377.20798,338.03099,346.01088,355.29669,341.53279,328.82788,330.24447,359.89221,318.63119,303.90321,319.66371,367.67581,372.9528,341.68117,342.82665,338.04738,296.66362,356.30015,338.71125,330.77608,332.99079,346.09013,327.63376,368.64354,392.31749,368.80857,378.44053,304.45746,304.93433,339.21891,339.15813,366.5209,380.72099,370.35153,362.12357
316.60413,347.65763,319.97786,303.9923,283.88476,332.13899,348.73818,344.2021,284.55667,331.24966,351.04371,319.75987,338.97497,346.38809,349.43951,366.70902,312.35145,346.01088,331.15174,341.53279,328.82788,330.24447,359.89221,318.63119,303.90321,319.66371,339.81123,334.5795,339.53067,340.14485,331.48695,296.66362,356.30015,317.44662,330.77608,332.99079,343.71581,327.63376,349.01055,315.33647,366.60135,369.67639,304.45746,293.70078,331.28258,339.15813,366.5209,364.444,369.48426,362.12357
316.60413,318.35411,319.97786,303.9923,283.88476,331.19229,348.73818,333.99061,284.55667,283.24359,351.04371,316.25095,338.97497,339.03755,311.00435,366.70902,312.35145,319.74965,310.16553,326.29442,324.82561,296.34633,344.90291,318.63119,303.90321,318.22326,326.57471,331.19009,339.53067,333.24898,331.48695,296.52783,302.331,297.28009,330.77608,332.99079,312.9515,317.43622,303.14212,315.33647,321.76935,332.44705,304.45746,288.73088,331.28258,339.15813,362.87531,352.56796,360.46849,344.28224
316.60413,310.16647,312.87072,303.9923,283.88476,326.42471,304.46141,330.39427,284.55667,270.95997,303.95261,286.40882,308.4944,336.22895,246.23138,342.25944,272.69848,318.65196,310.16553,320.85306,322.65002,296.34633,314.00564,318.63119,271.97097,317.65382,326.57471,315.72388,339.53067,307.61794,305.38395,296.52783,302.331,297.28009,324.95107,316.89778,306.77876,308.97074,295.67776,315.33647,292.62482,332.44705,304.45746,287.95956,317.51049,312.60891,294.09513,342.98749,341.17253,344.28224
316.60413,281.59698,304.80361,290.42833,281.45494,280.56213,304.46141,329.4012,284.55667,270.95997,303.95261,280.25182,302.30676,310.07057,246.23138,278.4388,262.458,312.17569,310.16553,320.85306,289.55236,284.53212,310.99311,295.81208,271.97097,284.75056,309.45435,315.72388,315.27889,304.13128,296.86817,296.52783,302.331,287.91938,294.26347,316.89778,270.24526,295.64877,293.76503,315.18825,292.62482,324.67766,304.45746,287.95956,317.51049,312.60891,289.08972,330.01831,341.17253,309.79925
273.74952,281.59698,288.02506,290.42833,268.92234,280.56213,296.75195,320.5454,284.55667,270.95997,303.95261,280.25182,301.25798,309.1089,246.23138,278.4388,250.52741,295.84035,280.36028,281.74579,289.55236,284.53212,310.99311,288.86763,265.47713,284.32002,298.10181,315.05873,304.24742,290.61888,296.86817,276.8123,290.36262,287.91938,294.26347,314.80148,270.24526,295.64877,293.76503,300.8583,292.62482,319.75874,261.77675,287.95956,317.13167,298.95781,289.08972,297.93271,332.33477,309.79925
