Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
48990.664,47242.852,47124.885,48339.725,54634.655,61705.841,52623.426,61836.231,59346.97,57343.403,57253.23,62126.503,51372.355,44803.816,57191.927,52327.766,51755.125,41063.167,63254.086,64479.419,67349.772,54070.165,53287.43,52665.834,51238.486,62715.893,59077.697,60306.216,53887.768,56387.701,59538.543,49480.208,50017.614,48336.222,51967.956,43582.581,57059.664,40143.034,57123.863,51230.392,44975.361,54416.625,52577.345,54651.68,52102.21,56312.087,59381.337,58373.027,45513.662,50770.427
48460.398,24761.394,46142.684,37939.063,47277.32,40077.781,52623.426,41939.11,39347.187,42890.143,34700.076,30017.073,38808.897,33356.669,38370.885,49116.003,51755.125,23683.906,43351.984,41498.85,39110.156,38062.055,38121.658,40387.94,32407.276,57171.941,41085.45,50220.956,47828.403,45694.376,50219.637,43969.716,31205.466,34738.496,51967.956,35733.002,45216.53,31261.169,49217.139,38197.558,40945.923,43637.379,32474.686,41335.115,34454.337,48918.844,38665.746,42863.942,31473.564,37660.123
42590.63,24761.394,39337.508,25299.214,44440.288,33590.787,46141.565,25495.774,31160.829,31215.778,29094.887,18554.792,38401.032,33356.669,34354.751,37900.663,38711.645,23683.906,25765.385,33803.501,38243.757,28569.64,30350.219,29429.288,28376.118,38141.073,32998.691,42702.062,29300.566,35186.675,39779.027,29287.656,30336.831,20747.986,37168.152,34384.134,39788.675,28200.672,40485.174,29197.202,36698.547,34659.971,32474.686,31271.622,32723.633,31307.102,30635.798,31991.873,30118.882,31902.627
31833.84,23008.906,34033.52,22000.339,34403.869,25655.054,42179.335,21099.132,28286.091,24141.365,25314.445,18415.646,30283.762,25644.331,29347.22,34711.407,36971.485,18347.499,25765.385,23413.985,28754.479,19148.688,29826.202,21726.537,25997.503,35325.132,17447.961,30522.615,28412.928,22764.783,33756.298,24861.63,21472.553,20747.986,32696.199,25100.379,21687.298,25416.635,35712.974,24982.023,36345.596,30156.169,22172.429,24682.631,27343.653,26041.113,28490.791,29437.485,23793.381,23980.906
28776.473,18672.934,31339.861,19297.389,18631.076,20209.859,29040.709,17913.655,22634.145,23459.044,20269.499,11336.712,25330.87,10547.934,25434.786,28312.797,26079.048,12996.818,19870.19,16002.884,21874.96,18525.14,17615.321,17288.38,21799.716,30572.725,16429.378,23709.052,23906.453,19994.464,26126.517,23868.57,21472.553,14645.225,24225.473,19146.63,20676.286,23709.595,23994.901,21908.333,25247.182,25716.231,19065.302,21446.702,19019.906,21095.555,25426.425,27231.004,21005.057,19009.944
20313.344,12929.785,24264.253,14495.039,15570.468,16121.911,22662.779,14280.691,20565.637,19805.03,19421.022,9514.5236,19787.01,10547.934,18108.317,28049.714,22701.223,12343.79,15525.625,14459.239,18348.015,13801.337,17045.604,14548.404,16991.672,22975.333,14430.153,20410.782,21144.428,17918.128,17642.028,19571.555,18245.61,13866.408,22110.049,17094.578,18704.115,17882.89,21459.124,20264.054,23618.376,17671.652,14100.431,16042.56,17583.738,17892.78,21122.102,21455.648,13135.231,14560.948
19460.175,12929.785,19120.788,11486.84,11237.608,12053.633,16394.959,11857.3,16257.054,14799.249,15771.637,9503.0762,15735.774,8617.9166,14552.218,21795.051,18075.127,9898.2923,14348.782,11213.628,13438.44,11711.309,13632.649,12343.439,14489.435,16284.401,12804.452,20125.671,18920.521,14316.687,17642.028,18244.239,16865.465,10874.695,18526.476,15848.438,15053.177,15689.814,17087.252,16712.107,17526.241,14964.317,10513.884,12533.427,14595.249,13057.89,13586.557,17554.223,12186.205,12257.101
17765.45,11958.142,15336.19,9303.8245,11237.608,7862.3128,14065.018,11458.506,11016.53,13246.787,12186.985,5905.1346,11819.107,7065.5417,13725.939,16540.71,13497.062,8296.1466,11830.345,8314.4465,10343.053,8476.3007,11484.18,10167.499,12983.143,15252.273,11756.221,14292.522,11244.932,11277.484,15853.927,14746.752,14246.801,10855.916,14720.837,13121.106,12522.673,12273.961,11307.586,13407.478,13846.844,14200.106,7980.6364,9512.2434,11057.028,10414.928,9678.0313,12651.593,9551.6774,10142.66
15165.735,10553.585,9895.3159,7506.8943,7933.4116,6427.2971,11179.468,9532.7958,8498.4229,12288.902,9370.7011,5503.9564,10822.865,5947.8792,10858.616,14199.243,8504.568,6045.4544,8357.5151,6874.5744,8379.8094,7617.1929,8272.8827,8609.4166,11676.596,9955.6183,10779.93,12150.801,9607.6254,10748.278,12706.641,11073.214,11056.722,9141.8941,12583.121,9011.8435,10047.022,8557.45,10067.279,10590.365,13059.479,13187.891,6525.4221,6896.0552,10392.819,8808.4621,8209.2924,10138.748,7885.3383,8115.89
11510.712,8378.2485,8438.0796,7296.0453,7304.1061,5208.9191,10762.662,8120.4963,6798.4017,9629.3917,7180.0345,5176.9336,7449.7034,4693.0514,9830.4304,10152.243,7044.1717,5602.502,7192.155,6815.699,7406.2775,5546.0256,7069.6553,6270.4898,9342.5599,5941.0825,8553.0692,9723.196,7829.5696,7478.4956,11175.237,9894.6433,9511.3744,7275.7008,10516.797,7156.4444,9534.5909,8086.7815,7628.518,7364.1366,11019.723,9774.3917,5546.3655,6894.7069,8546.0382,7000.4469,8209.2924,9577.156,7354.0971,7225.6268
