Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
448.16554,527.97098,458.69739,564.8639,518.35222,481.93948,449.59922,474.40849,548.20132,404.35118,557.01498,439.51913,529.44125,563.29103,441.78352,349.08747,544.40856,556.98013,510.863,546.19637,504.76925,470.45537,475.64692,477.8015,513.52673,517.22213,467.17976,552.12649,513.50781,499.2107,487.24561,545.76108,427.34142,467.88625,507.87119,462.65788,417.35301,518.53114,449.05758,513.9241,539.35635,476.99758,516.94336,605.03444,512.63125,500.10705,456.80709,494.42209,564.84642,490.19776
448.16554,461.62676,458.69739,442.29577,497.80998,419.68107,447.08776,474.40849,473.85887,404.35118,444.36256,439.51913,495.06945,502.90199,441.78352,349.08747,482.44917,482.97526,463.9188,448.29013,404.22654,418.77181,475.64692,477.8015,433.06413,433.41868,437.65156,361.82917,473.7939,451.07577,453.88356,445.01747,427.34142,449.35087,479.26984,456.69985,417.35301,408.67281,365.63123,513.9241,460.62094,408.99272,476.46224,535.76094,471.1226,394.50386,456.80709,456.80392,456.8007,490.19776
448.16554,426.9667,458.69739,350.38594,411.91873,394.57741,416.10463,446.75584,437.87721,323.06392,406.37971,428.78706,461.50098,368.92453,399.75084,349.08747,476.14542,439.23131,412.9583,423.88674,404.22654,407.22216,475.64692,441.08683,433.06413,429.77444,431.77424,361.82917,424.83216,446.3046,453.03048,415.60061,427.34142,388.66778,441.8897,412.98607,417.35301,282.94262,365.63123,507.05617,311.5763,408.99272,288.20677,392.1747,455.28072,352.26854,456.80709,377.57787,448.35612,419.54987
372.19298,332.24602,377.81161,350.38594,411.91873,349.11138,331.55847,378.28511,437.87721,323.06392,399.41134,375.48436,403.11726,290.19239,317.52945,349.08747,374.7027,439.23131,390.75592,406.33667,379.31747,340.5504,428.53869,392.40554,430.74836,423.79003,403.37458,361.82917,422.1365,407.20548,396.56841,402.76879,427.34142,388.66778,441.8897,398.62586,417.35301,282.94262,365.63123,468.85672,311.5763,334.32819,288.20677,374.01981,410.08867,348.5112,447.92198,344.34992,448.05763,306.67388
346.99373,328.03804,350.30766,350.38594,348.61135,311.78538,329.94093,378.28511,388.05547,283.67078,296.85745,375.48436,386.088,290.19239,317.52945,349.08747,366.52234,390.73861,390.75592,406.33667,377.58748,271.08688,389.68672,294.16192,365.05394,387.55277,349.63822,361.82917,345.98704,292.90845,281.92973,342.78837,427.34142,362.69024,426.52955,336.15587,417.35301,282.94262,365.63123,367.39565,311.5763,334.32819,288.20677,292.82334,373.92576,331.1476,371.33756,296.39663,383.03198,302.21543
346.99373,328.03804,343.93542,350.38594,313.98401,311.78538,329.94093,351.56517,357.11344,283.67078,296.85745,360.006,386.088,290.19239,291.38294,348.26263,366.52234,390.73861,359.24767,348.21331,377.58748,271.08688,368.55648,294.16192,332.73205,315.29459,324.40524,361.82917,345.98704,290.47859,281.92973,342.78837,377.80123,362.69024,319.22623,336.15587,417.35301,282.94262,336.78399,328.48521,311.5763,334.32819,288.20677,292.82334,305.11101,331.1476,371.33756,296.39663,374.05939,302.21543
346.99373,322.23711,278.84294,329.05524,313.98401,311.78538,296.60863,333.95221,357.11344,283.67078,296.52186,307.00314,358.87376,290.19239,291.38294,306.10069,366.52234,351.72467,358.90987,312.90321,350.2191,271.08688,368.55648,294.16192,332.73205,307.65031,279.16959,361.82917,345.98704,290.47859,281.92973,277.97535,331.41564,362.69024,319.22623,336.15587,411.97454,282.94262,318.7835,328.48521,305.85446,288.31466,288.20677,292.82334,290.83815,274.68028,303.61265,296.39663,373.45468,302.21543
346.99373,261.52226,278.84294,329.05524,313.98401,245.71417,219.00258,258.11902,352.95816,283.67078,245.47856,305.53257,358.87376,290.19239,291.38294,253.57563,342.32907,300.31713,317.79238,312.90321,341.12679,271.08688,368.55648,294.16192,310.97172,235.70043,247.37738,361.82917,345.98704,290.47859,281.92973,207.46796,331.41564,362.69024,274.30215,322.02903,367.95318,253.36975,311.17856,328.48521,281.82525,206.25084,288.20677,292.82334,220.50213,274.68028,303.61265,296.39663,250.06562,302.21543
346.99373,261.52226,278.84294,310.93341,313.98401,245.71417,219.00258,258.11902,316.0091,283.67078,234.38577,243.15547,247.7792,290.19239,277.32086,253.57563,315.50642,270.32685,317.79238,282.89171,311.06932,236.72622,307.18827,294.16192,309.7391,235.70043,247.37738,361.82917,345.98704,281.63968,275.54657,207.46796,331.41564,362.69024,273.29298,308.80751,311.20865,253.36975,279.52463,267.81233,239.4739,206.25084,288.20677,292.82334,220.50213,274.68028,300.43963,252.29933,250.06562,302.21543
346.99373,254.17014,278.84294,290.75004,313.98401,245.71417,219.00258,258.11902,309.72098,283.67078,230.69727,243.15547,247.7792,290.19239,252.86223,253.57563,315.50642,270.32685,317.79238,280.098,305.85194,236.72622,231.59472,294.16192,276.24349,235.70043,247.37738,331.87288,345.98704,259.88925,275.54657,207.46796,331.41564,348.32185,212.53597,246.83231,307.66377,250.58406,256.50238,267.81233,239.4739,206.25084,288.20677,292.82334,220.50213,274.68028,300.43963,252.29933,231.14979,302.21543
