Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
3.3484682e+09,4.9536918e+09,3.5669439e+09,3.8347986e+09,3.2667371e+09,3.5195897e+09,3.0554951e+09,3.1943561e+09,2.6332385e+09,3.4032008e+09,2.7759023e+09,3.6598374e+09,3.0154444e+09,4.6617834e+09,3.3921872e+09,2.4274658e+09,2.0136042e+09,1.7694908e+09,4.1154993e+09,3.7490636e+09,2.0089482e+09,3.8868138e+09,3.2674708e+09,2.5057585e+09,2.9775709e+09,2.4138558e+09,3.5346972e+09,2.8938036e+09,2.8395801e+09,3.5422969e+09,3.3439467e+09,4.3148455e+09,2.6316723e+09,2.1523257e+09,3.423123e+09,4.1824082e+09,3.1968193e+09,3.0927067e+09,3.2798427e+09,2.7493134e+09,2.1424157e+09,3.5227793e+09,3.9598175e+09,4.4301997e+09,1.9330684e+09,3.5360858e+09,2.8686452e+09,3.615802e+09,2.4963937e+09,4.7258154e+09
3.2557314e+09,4.9536918e+09,3.5669439e+09,3.8347986e+09,3.2667371e+09,3.5195897e+09,3.0554951e+09,3.1943561e+09,2.6332385e+09,3.4032008e+09,2.7759023e+09,2.7474396e+09,3.0154444e+09,4.5572267e+09,3.3921872e+09,2.4274658e+09,2.0136042e+09,1.7694908e+09,3.1787824e+09,2.9787273e+09,2.0089482e+09,3.7859919e+09,3.2674708e+09,2.5057585e+09,2.673379e+09,2.4138558e+09,3.3754838e+09,2.8938036e+09,2.8395801e+09,3.5422969e+09,2.2453913e+09,4.3148455e+09,2.6316723e+09,2.1523257e+09,3.0038639e+09,3.5214004e+09,2.2095667e+09,3.0927067e+09,3.2798427e+09,2.7493134e+09,2.1424157e+09,1.3713796e+09,3.9442517e+09,3.9755481e+09,1.9330684e+09,3.5360858e+09,2.8686452e+09,3.615802e+09,2.4963937e+09,2.5019792e+09
3.2557314e+09,3.7581345e+09,9.1368084e+08,3.8347986e+09,3.2667371e+09,1.8543966e+09,2.1073837e+09,2.5928606e+09,2.6332385e+09,3.2482305e+09,2.2272601e+09,2.7474396e+09,3.0154444e+09,4.5572267e+09,3.1298443e+09,2.4274658e+09,2.0136042e+09,1.768311e+09,2.594409e+09,2.9787273e+09,2.0089482e+09,3.7859919e+09,3.1716086e+09,2.5057585e+09,2.673379e+09,2.2926431e+09,2.381594e+09,2.8938036e+09,2.8395801e+09,3.5422969e+09,2.2453913e+09,4.3148455e+09,2.4169789e+09,2.1523257e+09,3.0038639e+09,3.5214004e+09,2.2095667e+09,2.9122344e+09,3.1583802e+09,2.6626646e+09,2.1424157e+09,1.3713796e+09,3.9442517e+09,3.9755481e+09,1.9330684e+09,2.8704044e+09,2.5768977e+09,3.2229176e+09,1.648792e+09,2.5019792e+09
3.2557314e+09,3.7581345e+09,9.1368084e+08,2.8124463e+09,3.2667371e+09,1.8543966e+09,2.1073837e+09,2.5928606e+09,2.2514947e+09,2.1549911e+09,2.2272601e+09,2.2437379e+09,2.3228684e+09,3.6161102e+09,3.1267798e+09,2.4274658e+09,1.6437874e+09,1.768311e+09,2.594409e+09,2.9787273e+09,2.0089482e+09,3.2577583e+09,3.1716086e+09,2.5057585e+09,2.673379e+09,2.2926431e+09,2.381594e+09,2.0384176e+09,2.8395801e+09,2.4799322e+09,2.2453913e+09,3.2468587e+09,2.4169789e+09,9.9080643e+08,2.826347e+09,3.5214004e+09,2.2095667e+09,2.9122344e+09,3.1583802e+09,2.6626646e+09,1.6291129e+09,1.3713796e+09,2.5270657e+09,3.1450587e+09,1.9330684e+09,2.8704044e+09,2.5768977e+09,2.7205107e+09,1.648792e+09,2.5019792e+09
2.6656613e+09,2.6242771e+09,9.1368084e+08,2.570073e+09,2.855111e+09,1.8543966e+09,2.1073837e+09,1.7095522e+09,2.2514947e+09,2.1549911e+09,1.6901016e+09,1.8125182e+09,2.18711e+09,3.6161102e+09,1.9908597e+09,2.4274658e+09,1.6437874e+09,1.7306691e+09,2.5226206e+09,2.5193887e+09,1.3765578e+09,3.2577583e+09,1.7319713e+09,2.3820425e+09,2.1141517e+09,2.2926431e+09,2.1049844e+09,2.0384176e+09,2.7277075e+09,2.4799322e+09,2.2453913e+09,3.2468587e+09,2.4169789e+09,9.9080643e+08,2.826347e+09,3.5214004e+09,2.2095667e+09,2.9122344e+09,3.1583802e+09,2.1486174e+09,1.6291129e+09,1.3713796e+09,2.1694033e+09,3.1450587e+09,1.9330684e+09,1.0417178e+09,1.8029152e+09,2.1840938e+09,1.6321242e+09,1.6694303e+09
2.6656613e+09,2.6242771e+09,8.2801928e+08,2.570073e+09,2.855111e+09,1.8543966e+09,1.9324456e+09,1.2336021e+09,2.2514947e+09,1.8870909e+09,1.6901016e+09,1.8125182e+09,2.18711e+09,2.3872231e+09,1.9908597e+09,2.4274658e+09,1.2593513e+09,1.3030075e+09,2.5226206e+09,2.5193887e+09,1.0540028e+09,2.7904453e+09,1.7319713e+09,1.3942972e+09,1.9295269e+09,1.5686267e+09,2.1049844e+09,2.0384176e+09,2.2725204e+09,1.3977727e+09,2.2453913e+09,2.3706934e+09,2.4169789e+09,9.9080643e+08,2.1223031e+09,3.3200115e+09,2.2095667e+09,2.9122344e+09,3.1583802e+09,1.9611565e+09,1.6291129e+09,1.3713796e+09,2.1694033e+09,2.6167697e+09,1.9330684e+09,1.0417178e+09,1.8029152e+09,2.1746444e+09,1.6321242e+09,1.6694303e+09
2.6656613e+09,2.6242771e+09,8.2801928e+08,2.3787511e+09,2.6065656e+09,1.8543966e+09,1.9324456e+09,1.2336021e+09,2.0957098e+09,1.8870909e+09,1.6576206e+09,1.8125182e+09,2.18711e+09,2.3872231e+09,1.9908597e+09,2.4274658e+09,7.2833686e+08,5.8155553e+08,2.5226206e+09,2.5193887e+09,1.0540028e+09,2.7904453e+09,1.7319713e+09,1.3942972e+09,1.9295269e+09,1.5686267e+09,2.1049844e+09,2.0384176e+09,2.2725204e+09,1.3977727e+09,2.2453913e+09,2.3706934e+09,1.9785848e+09,9.9080643e+08,2.1223031e+09,3.3200115e+09,1.5846028e+09,2.6006026e+09,3.0479959e+09,1.9611565e+09,1.6291129e+09,1.3713796e+09,1.8772016e+09,2.6167697e+09,1.9330684e+09,1.0417178e+09,1.3207144e+09,2.1746444e+09,1.6321242e+09,1.6590878e+09
1.4774544e+09,2.6242771e+09,7.6844808e+08,2.3787511e+09,2.6065656e+09,1.8543966e+09,1.6380258e+09,1.2336021e+09,2.0950624e+09,1.5524074e+09,1.6576206e+09,1.7139927e+09,1.7938943e+09,2.3872231e+09,1.9908597e+09,2.4274658e+09,7.2833686e+08,5.8155553e+08,2.0853973e+09,2.5193887e+09,6.7898007e+08,2.7904453e+09,1.4349283e+09,1.3942972e+09,1.9295269e+09,1.5686267e+09,2.1049844e+09,1.9313741e+09,1.6309527e+09,1.3977727e+09,2.1605311e+09,2.3706934e+09,1.6368498e+09,9.9080643e+08,1.9921919e+09,2.570359e+09,1.3464023e+09,2.6006026e+09,3.0479959e+09,1.9611565e+09,1.6291129e+09,1.3713796e+09,1.8772016e+09,2.6167697e+09,7.5621193e+08,1.0417178e+09,1.1867034e+09,1.6355708e+09,1.6321242e+09,1.0216005e+09
1.4774544e+09,2.1238984e+09,7.6844808e+08,2.1583296e+09,2.6065656e+09,1.1199737e+09,1.6380258e+09,1.0247413e+09,2.0950624e+09,1.5524074e+09,1.6576206e+09,1.7139927e+09,1.7938943e+09,2.3872231e+09,1.9908597e+09,1.4951767e+09,7.0112428e+08,5.8155553e+08,1.2900713e+09,1.6936752e+09,6.7898007e+08,2.7904453e+09,1.4349283e+09,1.3942972e+09,1.3491708e+09,1.5686267e+09,2.1049844e+09,1.5584831e+09,1.6309527e+09,1.3977727e+09,2.1605311e+09,2.1569121e+09,1.4454069e+09,7.7529411e+08,1.8854242e+09,2.570359e+09,1.3464023e+09,2.6006026e+09,2.8811215e+09,1.9611565e+09,1.6291129e+09,1.3713796e+09,1.6140939e+09,2.1299589e+09,7.5621193e+08,1.0417178e+09,1.1867034e+09,1.6355708e+09,1.6321242e+09,1.0216005e+09
1.3602806e+09,2.1238984e+09,7.6844808e+08,2.1583296e+09,2.6065656e+09,1.1199737e+09,1.6380258e+09,1.0247413e+09,1.9061067e+09,1.2874049e+09,1.1074606e+09,1.627229e+09,1.7938943e+09,2.3872231e+09,1.3366047e+09,1.4951767e+09,7.0112428e+08,5.4013278e+08,1.2900713e+09,1.6936752e+09,6.7898007e+08,2.7904453e+09,1.4349283e+09,1.3942972e+09,1.3491708e+09,1.5686267e+09,1.3940503e+09,1.3704691e+09,1.6309527e+09,1.2012738e+09,2.1605311e+09,2.1569121e+09,1.4454069e+09,7.7529411e+08,1.8854242e+09,9.9456539e+08,1.3464023e+09,1.0801511e+09,2.6392242e+09,1.0256583e+09,1.6291129e+09,1.3713796e+09,8.1645311e+08,1.937726e+09,7.5621193e+08,8.9800882e+08,1.1867034e+09,1.5734892e+09,1.53644e+09,9.2229533e+08
